log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median,period
2.9139853397564126e-08,-2.0425137253815936e-07,0.0,42.825727922355604,42.77372615864967,42.79,02/17/2010-02/19/2010
-8.994848144807342e-07,-7.042004789197268e-07,0.0,40.79906329946347,40.73115313310902,40.89,02/22/2010-02/24/2010
3.955727661268662e-07,5.698049836980827e-07,0.0,38.954583707176866,38.65413862878787,38.69,02/25/2010-03/01/2010
-3.867080512865622e-07,-4.577535966825688e-08,0.0,39.093563751310406,38.89985361809751,38.81,03/02/2010-03/04/2010
-2.572236267345544e-07,-2.7072581820998197e-07,0.0,39.27336446504188,39.35053248951999,39.31,03/05/2010-03/09/2010
-1.0208297515331491e-07,2.926154306903465e-07,0.0,37.98141473527485,38.112898818124975,38.26,03/10/2010-03/12/2010
2.763747135393047e-07,8.621794181901732e-08,0.0,38.67549731125583,38.385205750921926,38.48,03/15/2010-03/17/2010
4.415806773934558e-07,3.9128991282366924e-07,0.0,39.31083331237856,40.16858492627881,39.18,03/18/2010-03/22/2010
-1.551123367626781e-07,-1.947035254270641e-07,0.0,41.68465553115895,41.777263061071906,41.8,03/23/2010-03/25/2010
-3.409880162735835e-07,-6.710793986001126e-07,0.0,39.632693346573156,39.79114371775937,39.62,03/26/2010-03/30/2010
6.738460513523755e-07,4.083436052450193e-07,0.0,39.57617425657395,39.40762682268445,39.43,03/31/2010-04/05/2010
-8.177011370591974e-08,-1.2657563519722226e-07,0.0,40.52105715141735,40.37092898119924,40.44,04/06/2010-04/08/2010
6.906677045619366e-08,6.14266359378433e-08,0.0,40.81542338310331,40.63981405463382,40.81,04/09/2010-04/13/2010
-8.002405014313504e-08,-3.8268022268533706e-08,0.0,41.34878385941193,41.52032474798111,41.5601,04/14/2010-04/16/2010
-1.6690861768973354e-19,4.481978338296068e-07,0.0,39.81772853106626,39.98267831223178,39.97,04/19/2010-04/21/2010
6.292245335309902e-07,5.421535491555077e-07,0.0,43.01756448125204,43.581845110638724,44.095,04/22/2010-04/26/2010
-4.04553821033022e-07,-1.0323771516578563e-07,0.0,42.9070262156807,42.92294439720331,42.84,04/27/2010-04/29/2010
-1.0153858758867202e-06,3.6584689942893826e-07,0.0,41.18254042932567,41.629573923427415,41.27945,04/30/2010-05/04/2010
-4.457035063881115e-07,-7.267612863306863e-07,0.0,39.06183456161052,38.666616805633566,38.84,05/05/2010-05/07/2010
2.525544060000134e-07,2.1404394338157022e-07,0.0,40.162050378579515,39.941793693693654,40.24,05/10/2010-05/12/2010
-4.353470320497175e-07,-1.0910171657565877e-06,0.0,38.888236352677865,39.039162953045846,38.7,05/13/2010-05/17/2010
-8.781206827241814e-07,-1.1028674270404572e-06,0.0,36.38036940521362,35.91587303242891,36.36,05/18/2010-05/20/2010
4.2015376978842825e-08,-4.5157505948781945e-07,0.0,35.08873202384136,35.06434669667411,35.32,05/21/2010-05/25/2010
-2.672845155424851e-07,-5.424434866447224e-07,0.0,35.305361589596686,35.173622770199486,35.22,05/26/2010-05/28/2010
5.369568668888515e-07,4.1671777915567055e-07,0.0,35.04577437721912,34.311024392870245,34.95,06/01/2010-06/03/2010
-6.299989558874184e-07,-2.6638034357414377e-07,0.0,34.02186889165258,33.556675309768785,33.755,06/04/2010-06/08/2010
1.426516000843606e-07,-5.034859244510687e-07,0.0,33.95713748602199,34.01194856119453,34.01,06/09/2010-06/11/2010
2.693783545945542e-07,2.889783723328208e-07,0.0,35.10037766448237,35.211212515621696,35.15,06/14/2010-06/16/2010
