log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median,period
-2.373283241000176e-05,-3.067399686406949e-05,0.0,36.38385499999992,36.383742455218055,36.49,02/17/2010-02/23/2010
-1.6832529138761277e-05,2.559207645927504e-06,0.0,33.87160869565214,34.16168947272396,34.01,02/24/2010-03/02/2010
-9.136334959437591e-06,2.0200866444932148e-06,0.0,33.56604481246955,33.642324628776244,33.64,03/03/2010-03/09/2010
-1.7316710731827352e-06,-1.6692641027412208e-05,0.0,32.71279538904897,32.85292833035537,32.82,03/10/2010-03/16/2010
3.8267083537801525e-05,-1.3530914837077848e-05,0.0,33.9969961051607,33.97814358179512,33.73,03/17/2010-03/23/2010
-2.8919236354700055e-05,-1.3355495245662494e-06,0.0,34.73683513248296,34.483166666666676,34.4,03/24/2010-03/30/2010
1.6849429515270146e-05,-6.072654063083022e-06,0.0,34.3154464285714,34.74458378378378,34.46,03/31/2010-04/07/2010
2.2399956979926012e-05,2.384318897096602e-05,0.0,35.05428364688851,34.92917853751186,34.96,04/08/2010-04/14/2010
-9.51166365842701e-06,2.710749053308629e-05,0.0,34.646201361867604,34.348483156028365,34.49,04/15/2010-04/21/2010
3.053698086002788e-05,-2.682804517363799e-07,0.0,36.62635379061375,36.670619047619056,36.88,04/22/2010-04/28/2010
-2.897954732760302e-05,-2.645142003448991e-05,0.0,35.530854446100456,35.26639098809747,35.51,04/29/2010-05/05/2010
-4.0864072547128644e-06,-5.655887705699384e-05,0.0,33.98365686274513,34.34748803827751,34.2,05/06/2010-05/12/2010
-4.826869652838131e-05,-7.295834141169906e-05,0.0,32.72878431372553,32.417825361827205,32.75,05/13/2010-05/19/2010
-2.710310318700824e-05,3.0016289093298388e-05,0.0,30.25804093567255,30.17757441549079,30.41,05/20/2010-05/26/2010
2.1312380929095598e-05,3.3626896466311818e-06,0.0,30.15930118110235,30.005394499178987,30.09,05/27/2010-06/03/2010
-2.4387815311519387e-05,-7.692738702650707e-05,0.0,29.129532391621993,29.04559637939827,29.07,06/04/2010-06/10/2010
2.5629115329616542e-05,2.475235362638366e-05,0.0,29.902173913043516,30.02215611974232,30.04,06/11/2010-06/17/2010
-5.1154193766030725e-05,-4.371244945726722e-05,0.0,28.925679442508756,29.987857142857152,29.12,06/18/2010-06/24/2010
-1.01961000808986e-05,1.5926346157266906e-05,0.0,26.66680356259278,26.94213043129709,26.73,06/25/2010-07/01/2010
2.124343051646051e-05,-2.5163072695027308e-05,0.0,26.44622763419483,26.5802480097979,26.47,07/02/2010-07/09/2010
1.363042272249981e-05,1.2699495352318156e-05,0.0,27.4730058939096,27.43151041666667,27.34,07/12/2010-07/16/2010
-4.907938237163745e-05,-4.8276972543786054e-05,0.0,25.623330283623005,26.54639144370122,26.27,07/19/2010-07/23/2010
-2.8577598405252356e-05,-8.385168271489997e-06,0.0,23.80723249027239,23.99779790660225,24.01,07/26/2010-07/30/2010
-4.173876445723465e-06,-6.184210286802217e-05,0.0,23.025802285146543,23.117217602217593,23.08,08/02/2010-08/06/2010
-3.594110415194007e-05,-5.6553918048840675e-05,0.0,21.292501177578927,21.325741758241765,21.1,08/09/2010-08/13/2010
3.473659133371926e-05,4.6700548389383854e-05,0.0,20.930405235094558,20.900734042553196,20.93,08/16/2010-08/20/2010
1.1691257482298597e-05,6.138423862610995e-05,0.0,20.650272549019604,20.606919523099847,20.53,08/23/2010-08/27/2010
1.9934166368903228e-05,1.4088337075601599e-05,0.0,21.849867321867386,22.06606060606061,21.97,08/30/2010-09/03/2010
1.0991785272811485e-05,0.00010632486764176991,0.0,22.308706172839468,22.427033333333334,22.35,09/07/2010-09/13/2010
9.416395681931457e-06,-1.795502994318341e-05,0.0,23.004295600593107,23.020380220646175,22.97,09/14/2010-09/20/2010
4.611322782028819e-06,-2.3683130442226993e-05,0.0,23.3876505429418,23.31195833333333,23.36,09/21/2010-09/27/2010
-4.1630866567447775e-07,-9.21111614615447e-06,0.0,24.103609320773487,24.01862236286921,24.18,09/28/2010-10/04/2010
2.7531377642712726e-05,2.7492261314441755e-05,0.0,24.473250988142297,24.695061315496098,24.494999999999997,10/05/2010-10/11/2010
3.419112739232428e-05,-2.481975349478739e-05,0.0,26.208640776699053,26.7196837944664,25.655,10/12/2010-10/18/2010
-7.946805291815317e-06,-1.5405162725190306e-05,0.0,26.063080188679276,26.139285322509878,26.14,10/19/2010-10/25/2010
3.725222974531049e-05,3.0516477040032324e-05,0.0,27.2155858987091,27.125837595907928,27.23,10/26/2010-11/01/2010
2.85835284820893e-05,1.7649206993928088e-05,0.0,28.9322121212121,28.72973946784922,28.75,11/02/2010-11/08/2010
-4.910686796222354e-05,-1.2476410076317843e-05,0.0,28.466664979757006,28.33356944444445,28.26,11/09/2010-11/15/2010
3.912029590997434e-05,4.6047252648441666e-05,0.0,27.963428136109773,27.603383116883116,27.76,11/16/2010-11/22/2010
-3.5592128559945004e-06,-1.739485852104304e-05,0.0,28.690241675617578,28.634884259259255,28.71,11/23/2010-11/30/2010
1.9160687459461566e-05,-1.5644559275214952e-06,0.0,29.709567209775912,29.583888888888886,29.64,12/01/2010-12/07/2010
-8.459742918806853e-06,-5.479255940675723e-06,0.0,30.15736004108893,29.988333333333316,30.03,12/08/2010-12/14/2010
-1.4484689267340929e-05,-2.6904770377592976e-06,0.0,28.397355623100292,28.3664219858156,28.36,12/15/2010-12/21/2010
-2.154862846414299e-06,1.8363228532186248e-05,0.0,28.951613402061902,28.984179197994983,28.95,12/22/2010-12/29/2010
-1.1304438929029196e-05,-3.813238737383012e-18,0.0,28.718755736868946,28.663676470588236,28.78,12/30/2010-01/05/2011
-1.7953598753482905e-07,4.6659218796403585e-06,0.0,28.177622909275094,28.233282051282032,28.2,01/06/2011-01/12/2011
-1.4284116203820972e-05,2.5195361985389863e-05,0.0,28.357620357634048,28.513437207122777,28.28,01/13/2011-01/20/2011
4.056351807054891e-05,1.3199682316247077e-05,0.0,28.160738522954027,27.713377371273715,27.7,01/21/2011-01/27/2011
2.119795687024749e-05,7.91960360439101e-06,0.0,29.86592517694636,29.65605555555555,29.67,01/28/2011-02/03/2011
-1.122605252674643e-05,-4.107823380027451e-06,0.0,30.808513238289294,30.853451354679827,30.98,02/04/2011-02/10/2011
-2.3650605803240626e-05,-1.6795800829143e-05,0.0,29.30265450861178,28.94747368421053,29.23,02/11/2011-02/17/2011
-3.707397559852564e-05,4.689944141442993e-06,0.0,27.118456477732664,26.705731816153516,26.71,02/18/2011-02/25/2011
-1.9280393279994042e-05,-4.846853411083363e-05,0.0,25.889189189189207,26.047040662881663,25.78,02/28/2011-03/04/2011
6.09498030604173e-05,-5.547999771690512e-06,0.0,29.790653718616724,29.575761363636378,29.7,03/07/2011-03/11/2011
-8.275270830116342e-06,3.0081417522043556e-05,0.0,28.760731829573942,28.817291193181816,28.77,03/14/2011-03/18/2011
4.033834264737167e-05,1.2399886708559774e-05,0.0,30.0524302384577,29.672277575757565,29.62,03/21/2011-03/25/2011
1.3245262296587907e-05,1.2060210299245526e-05,0.0,32.08825364871669,32.095238095238074,32.08,03/28/2011-04/01/2011
6.520880067954589e-06,-3.497040645672768e-05,0.0,32.475779220779195,32.18289572192512,32.22,04/04/2011-04/08/2011
-3.2213230231652694e-06,-1.962274380582664e-05,0.0,32.8678245436105,33.01471688034188,32.9,04/11/2011-04/15/2011
2.769705342837152e-05,2.794826981599311e-06,0.0,34.165820895522174,33.70054665212283,34.66,04/18/2011-04/25/2011
-1.6089667260067974e-05,-2.5903300621429926e-05,0.0,34.202151515151634,34.0101368657938,34.03,04/26/2011-05/02/2011
-1.907407094684725e-05,-3.680686228321774e-05,0.0,32.81210929519914,32.69608333333335,32.74,05/03/2011-05/09/2011
-2.876735142215515e-05,-2.9797952900838903e-05,0.0,32.64800611932683,32.54525143996456,32.89,05/10/2011-05/16/2011
-3.656393125682221e-06,-1.2162524713307905e-05,0.0,31.057033811475325,31.16620535714285,31.07,05/17/2011-05/23/2011
6.8578354976014155e-06,-1.4395891986695676e-05,0.0,30.872049595141736,30.74848035284684,30.86,05/24/2011-05/31/2011
-3.871333664703276e-05,-7.743941216909157e-06,0.0,30.011675152749472,30.1395901360544,30.02,06/01/2011-06/07/2011
1.8392212227457047e-05,-2.8852130434897056e-05,0.0,29.220030565461048,28.979234268768984,29.03,06/08/2011-06/14/2011
-3.957742100644771e-06,-3.908813289319351e-05,0.0,29.38610091743123,29.45188250825082,29.43,06/15/2011-06/21/2011
1.5132535370197474e-05,-1.2748610627686626e-05,0.0,30.385780000000032,30.056259920634908,30.21,06/22/2011-06/28/2011
2.4232725506888173e-05,-1.1536745132864411e-05,0.0,31.339620901639314,31.403224637681156,31.39,06/29/2011-07/06/2011
-7.564710699668786e-06,-2.632167344286617e-06,0.0,32.39895991882293,32.40478210366098,32.32,07/07/2011-07/13/2011
-1.7735426984822725e-05,1.42558113944911e-05,0.0,32.010275551102296,31.956684550594172,32.02,07/14/2011-07/20/2011
-1.7243591751415952e-05,-6.131605086889618e-05,0.0,31.308870967741903,31.0859375,31.405,07/21/2011-07/27/2011
-3.928592476347043e-05,-6.305843136589634e-06,0.0,29.35306558210468,29.891914893617027,29.52,07/28/2011-08/03/2011
-5.6535521229529515e-05,-7.12181117234799e-05,0.0,25.784921119592873,25.303934736711387,25.49,08/04/2011-08/10/2011
1.7820666567725694e-05,1.759001599754091e-05,0.0,26.3335383833249,26.287307692307692,26.48,08/11/2011-08/17/2011
-2.2655788130603124e-05,3.095308460805617e-05,0.0,23.29723232323234,23.413359497645217,23.24,08/18/2011-08/24/2011
2.9379980311554285e-05,1.7682059125958213e-06,0.0,24.61498472505098,24.76329738562092,24.7,08/25/2011-08/31/2011
-1.9530168259545495e-05,-3.9430440142853744e-05,0.0,24.031459074733117,24.11682835820896,24.17,09/01/2011-09/08/2011
3.179103846022109e-05,3.097741310166731e-05,0.0,24.935284552845538,25.2323155216285,24.96,09/09/2011-09/15/2011
-7.874656515148302e-05,-6.753630179991112e-05,0.0,24.42450761421308,24.40155172413794,24.68,09/16/2011-09/22/2011
2.3681727211754308e-05,4.991210503401292e-05,0.0,23.32037735849054,23.056415662650604,23.24,09/23/2011-09/29/2011
3.271982800983467e-05,3.338125788653884e-05,0.0,22.25144162436544,22.57,22.33,09/30/2011-10/06/2011
-6.178463892425978e-06,7.230700629104692e-05,0.0,24.07415662650601,24.322750143760782,23.98,10/07/2011-10/13/2011
-4.354556982931169e-05,-6.238078033294076e-05,0.0,22.249236363636335,22.45583333333333,22.44,10/14/2011-10/20/2011
1.8877107887428445e-05,2.1840114608298543e-05,0.0,23.110500992063592,23.095992559523783,23.11,10/21/2011-10/27/2011
3.897121232980364e-05,5.844907251916905e-05,0.0,23.262013052208818,23.241902439024404,23.21,10/28/2011-11/03/2011
-3.88358370335406e-05,5.204399740793076e-06,0.0,23.16685438863519,23.579471153846157,23.49,11/04/2011-11/10/2011
-1.2972165617076352e-05,-2.2607408747651376e-05,0.0,22.36053457577245,22.447733918128666,22.49,11/11/2011-11/17/2011
-1.5471022458550015e-05,-4.518241811085712e-05,0.0,22.09906964091402,22.013078564257032,22.07,11/18/2011-11/25/2011
9.813120425524755e-05,3.3165722581704376e-05,0.0,24.809607007575757,24.839903846153852,24.82,11/28/2011-12/02/2011
1.0524559568684392e-05,2.021239844205697e-17,0.0,27.369508362899136,27.32934270952927,27.33,12/05/2011-12/09/2011
-1.925723507621542e-05,-2.221315433720166e-05,0.0,26.65892299949666,26.842082089552235,26.63,12/12/2011-12/16/2011
1.7286119612348767e-05,5.542277955319202e-05,0.0,26.955879065040747,27.045068965517224,27.095,12/19/2011-12/23/2011
-1.48759738284164e-05,9.305409838157462e-06,0.0,26.65798561151074,26.59509740259739,26.62,12/27/2011-01/03/2012
4.0709413092889464e-05,-1.4438327573384504e-06,0.0,28.313393483709294,28.61125170068027,28.61,01/04/2012-01/10/2012
2.5367049139996034e-05,2.4655729447692814e-05,0.0,28.631690283400772,28.596973347107458,28.61,01/11/2012-01/18/2012
