Year,g_median,mean,median
1998,0.005645846486564673,0.009379854653471478,0.005305052229693098
1999,6.46237582118337e-05,0.0016917961864609784,-0.00040209089420684395
2000,-0.002381838575061871,-0.00035245314598615206,-0.004185749764199718
2001,-0.0007938079352587051,-0.0004435519968319671,-0.003912239809685606
2002,-0.0066458030265748895,-0.004718638574902403,-0.00808729011407269
2003,0.0013293484147196952,0.0013039108335275475,0.00036643460782634883
2004,0.0008579732235041646,-0.00042327270598115443,-0.0004076641073773382
2005,-8.837780576927766e-06,0.0002931543614454734,0.0
2006,0.0006629848140814797,0.00022302497108327092,0.0006555228028903976
2007,-0.0024665938699178895,-0.0026323790678779613,-0.003093583286995529
2008,-0.0020256770798573903,-0.004282493723287538,-0.002490661312451808
2009,0.006719224105311928,0.005884554425668894,0.007315178719465279
2010,-0.0004909403162882642,-0.0012173729079131322,-0.0010806775219887477
2011,-0.00179192557145296,-0.000928363478839504,-0.004349364762688971
2012,-0.0014528903993608962,-7.74217718118237e-05,-0.0016090108057006626
2013,0.005830512993411352,0.0049564815890577,0.005680737966781344
2014,0.0029165366555434858,0.002001052295973367,0.0020903295992235377
2015,-0.002961585061861696,-0.003658525729376023,-0.0035930949867162944
2016,0.0021842497416057023,0.0018279822368073686,0.001521464083456237
2017,0.002969220465222032,0.002496208657135099,0.002509375711671877
2018,0.0017945345259005178,0.00020820041115452735,0.0015081784468744075
