Year,g_median,mean,median
1998,0.0014946284404412727,0.002091750542702656,-0.0033394356691109884
1999,0.004493409695149086,0.0036238068343856845,0.005198029885429538
2000,-0.0031987646931439817,-0.004898245064999355,-0.005173362301770303
2001,0.0006799996733288877,0.0017216246384479104,0.0010404079197792462
2002,-0.001959570661846389,-0.001884532684341177,-0.0012657242603811678
2003,0.0017588841460659383,0.001674580992299104,0.0021961758680611133
2004,0.0044467237474601256,0.0044112769403112885,0.0034736389679489114
2005,0.003133494766771459,0.0031026393620744996,0.003757307586604537
2006,0.0001338582289730701,0.0006725494195051477,-0.0008914575212696237
2007,0.003863149710685469,0.0034485771502717933,0.0032208094609549463
2008,-0.0012420889792771283,-0.0033273355125352758,-0.0017053221511684783
2009,0.003998710894078155,0.0036027936271842407,0.004408647778654764
2010,0.001816694505432491,0.0016491872311580648,0.002131661859695415
2011,0.0020189449749303807,0.0008837450987852823,0.0013038492267294813
2012,0.0005434002124223518,0.0009409922633868791,0.0009869388378995502
2013,0.0001640915480339788,0.00032548479066484747,0.00076785365699912
2014,0.0018304516795143236,0.0014056835373739433,0.001391468097524634
2015,-0.0003595306677262182,-0.00020980683167888095,-0.0007835964526596852
2016,0.0013044608352402853,0.00034228455906346224,0.001412502357359898
2017,0.0015907222851620866,0.0015126478077367497,0.0017646237708164251
2018,0.0016471336547109986,0.0012963747112885939,0.0024924058031958584
