Year,g_median,mean,median
1998,0.0033463085166853842,0.0039302335546096325,0.004456242209562894
1999,0.0003722530668986592,0.0006930436478653374,0.0017960098052081863
2000,-0.000884728803397443,-0.0003613598171530303,-0.00021183841484736742
2001,-0.0005664814268388565,-0.0005783210995435724,-0.00019721159556937475
2002,-0.001597776053674621,-0.0011018227282060275,-0.0009074527563491823
2003,0.0008543490829520717,0.0009297106421547329,0.0009938464648787907
2004,0.0008259308205924058,0.0003442722616328032,0.000881645597389783
2005,0.00040000140094686434,0.00011287952099887473,0.00020464476985449672
2006,0.0006786624520495416,0.000516083703256245,0.0007548769826790392
2007,0.0006924362210185523,0.00013889712711101694,0.0005972525743663331
2008,-0.001300641153424726,-0.001982520962668284,-0.002200213008441427
2009,0.001543359622478681,0.0009357756142876195,0.0013478157538237745
2010,0.0006189646381346435,0.0004253747865972922,0.0012440923290850982
2011,0.0007226279611491649,1.545966208043801e-05,0.0018802372728840078
2012,0.0001777944042494767,0.0004110813014028434,0.0004941213388781134
2013,0.0013872583235010158,0.0010956556825982833,0.0014498567389100267
2014,0.0010538914769244658,0.0004848169348749427,0.0011182933151552988
2015,-3.0084873456096975e-06,-5.4944749179742414e-05,0.00024700431407808645
2016,0.0007147932732851544,0.00036212585301561044,0.0004232620308019077
2017,0.0008319844183744935,0.0007094142310685876,0.0010157669177271692
2018,0.0004886502441985594,0.0001526472767462299,0.0005117057234340567
