Year,g_median,mean,median
1998,0.002843311212050519,0.0028664804916423738,0.0019845213664105815
1999,0.0007618399118302255,0.0008375631626996711,-0.00015574375828908692
2000,-0.00020307860056456678,-0.00020794070334387998,0.00041507495680628045
2001,-7.802297388822119e-05,-0.0002813048531275422,0.00011648609806552793
2002,-0.0013583551675930194,-0.0007777644381250426,-0.002264061174676437
2003,0.00086445322628287,0.0008896789117906252,0.0012326600008011094
2004,0.00034222657091153067,0.00013985100007762343,0.00024783034260107695
2005,0.0003461907884378243,-6.044797364652364e-06,0.00023585008713745108
2006,0.0007097004973370378,0.0005885118587981845,0.000646701084322311
2007,0.0007354307613200577,0.0002661730178073019,0.0008887506410378685
2008,-0.00047927404865772094,-0.0017119120307618981,-0.0007875938976044417
2009,0.001014112594011345,0.0007798485347647701,0.0013149702141807204
2010,0.0007313890270599383,0.0003665596918646572,0.000462694124730469
2011,0.0009074930334528644,0.00023859355945468467,0.00106167703275889
2012,0.00012144074255038361,0.0002068008852082841,-0.000270197186996849
2013,0.0010796695840970122,0.0009679643589290326,0.001025529104430966
2014,0.0009429326694098417,0.00033958540194741117,0.0006784744261530225
2015,-0.0001349740851154258,-8.85630463481016e-05,-0.0001922764308199084
2016,0.0006195665945781045,0.0004761416523405083,0.0006351974191171842
2017,0.0009150691602648462,0.000898355032036064,0.000943777691486023
2018,0.0003299387342604384,0.00011215484222814416,0.0009235808345478492
