Year,g_median,mean,median
1998,0.021084598858427256,0.02290074153748183,0.023122394563711027
1999,-0.0023499541378978845,0.0016089885242387466,-0.007135179357268215
2000,-0.007658247866926197,-0.00617062494922036,-0.00949417468393617
2001,-0.007267338614181719,-0.0016699980304456824,-0.005836611131984902
2002,0.001508839490193621,0.0021955250556081273,0.0029649729438238747
2003,0.003741102016192065,0.0040054716116475955,0.003694539992300937
2004,0.0006761231537676968,-0.000624375678062963,0.00035133225286465385
2005,0.0005051504553078781,0.0002222733929392294,0.0011690642647463056
2006,3.779054965797248e-05,-0.000697935361823015,-0.0003575898610458273
2007,0.002590265560328999,0.0033900122853304476,0.0025188425781232644
2008,-0.0029258798633204166,-0.0024290784396458582,-0.005094374513898087
2009,0.002604461715782568,0.003944138974929073,0.0024861672335111536
2010,0.0017372816176261902,0.0011236083567535678,0.0013040890053936998
2011,0.000949963671221176,-0.0001921291991085307,0.0015232455856819646
2012,0.0011426003480042982,0.0013630909875260362,-0.0006405803035559631
2013,0.0019117351856806793,0.0019114236715969915,0.0015062700477565102
2014,0.001018513029011593,-0.0009375479152669047,0.0011286652837405233
2015,0.0015593694574554439,0.003132676441696987,0.00035145342984445175
2016,0.0010822039830447243,0.00043968752772261926,0.00037918283490698663
2017,0.0020096368461089906,0.0017269470970527124,0.002087547953526179
2018,0.003334160898822621,0.0021450368627525833,0.0025981960751436063
