,close_price,high_price,low_price,open_price,time,volume
0,227.9900,228.6000,227.6300,227.8200,2018-10-04 15:45:00,2015658
1,227.8250,228.0000,227.4000,227.8300,2018-10-04 15:30:00,743138
2,227.8530,228.1900,227.7768,228.0900,2018-10-04 15:15:00,582743
3,228.0400,228.5000,228.0400,228.2700,2018-10-04 15:00:00,592388
4,228.3091,228.4800,227.5700,227.6800,2018-10-04 14:45:00,745963
5,227.7400,228.3500,227.3800,227.4900,2018-10-04 14:30:00,1169835
6,227.5412,227.9060,226.7400,227.8726,2018-10-04 14:15:00,1200108
7,227.9700,228.1769,227.5900,227.6946,2018-10-04 14:00:00,707140
8,227.7000,227.9300,227.2800,227.9200,2018-10-04 13:45:00,755329
9,227.9400,228.1041,227.4600,228.0500,2018-10-04 13:30:00,653792
10,228.0400,228.3400,227.4500,227.8350,2018-10-04 13:15:00,776178
11,227.8410,228.2561,227.6500,227.9300,2018-10-04 13:00:00,566219
12,227.9300,228.4900,227.4300,228.2100,2018-10-04 12:45:00,673098
13,228.2500,228.7900,227.7500,227.8000,2018-10-04 12:30:00,865599
14,227.8600,228.6060,227.3000,228.4000,2018-10-04 12:15:00,1246801
15,228.4100,228.8600,227.7200,228.1500,2018-10-04 12:00:00,996877
16,228.1500,228.9000,227.8200,228.7600,2018-10-04 11:45:00,1319680
17,228.7200,229.6499,228.6100,229.5001,2018-10-04 11:30:00,1160961
18,229.4900,229.9132,229.3700,229.8090,2018-10-04 11:15:00,643360
19,229.7200,229.9600,229.0800,229.2000,2018-10-04 11:00:00,891064
20,229.2400,229.6700,229.1400,229.5500,2018-10-04 10:45:00,1036299
21,229.4900,229.9700,229.3200,229.7300,2018-10-04 10:30:00,1001328
22,229.7800,230.3100,229.3700,230.2700,2018-10-04 10:15:00,1192306
23,230.2500,230.3300,229.3800,229.9300,2018-10-04 10:00:00,1294427
24,229.9400,230.4100,229.0800,229.3050,2018-10-04 09:45:00,2086643
25,229.4000,232.3100,229.2299,230.8600,2018-10-04 09:30:00,3960193
26,232.0900,232.1800,231.9201,231.9700,2018-10-03 15:45:00,1432278
27,231.9299,232.1400,231.7700,231.9100,2018-10-03 15:30:00,825178
28,231.8900,232.4000,231.5800,232.2232,2018-10-03 15:15:00,1014227
29,232.2400,232.5400,231.9717,232.4000,2018-10-03 15:00:00,727691
30,232.4100,232.5573,231.9050,232.1300,2018-10-03 14:45:00,909020
31,232.1390,232.5292,231.7700,232.5100,2018-10-03 14:30:00,960739
32,232.5400,232.6994,232.4300,232.6994,2018-10-03 14:15:00,391460
33,232.6900,232.8800,232.4313,232.5100,2018-10-03 14:00:00,373816
34,232.5200,232.7300,232.4800,232.5900,2018-10-03 13:45:00,347035
35,232.5800,232.8800,232.5800,232.6945,2018-10-03 13:30:00,365294
36,232.6700,232.8800,232.5000,232.8097,2018-10-03 13:15:00,325147
37,232.8010,232.9100,232.6635,232.6900,2018-10-03 13:00:00,439537
38,232.6900,232.6900,232.2500,232.2500,2018-10-03 12:45:00,453287
39,232.2500,232.6100,232.0600,232.6100,2018-10-03 12:30:00,501422
40,232.6150,232.8000,232.3602,232.4139,2018-10-03 12:15:00,495597
41,232.4600,232.8262,232.3580,232.7700,2018-10-03 12:00:00,506402
42,232.7100,232.7100,231.7500,231.9800,2018-10-03 11:45:00,1070205
43,232.0450,233.1300,231.9700,233.0700,2018-10-03 11:30:00,1223995
44,233.0600,233.2900,232.7790,232.8800,2018-10-03 11:15:00,1076215
45,232.8900,232.8900,232.0800,232.5300,2018-10-03 11:00:00,1198356
46,232.5300,232.7150,232.2500,232.6300,2018-10-03 10:45:00,1135790
47,232.6800,233.1195,232.5700,232.8900,2018-10-03 10:30:00,1208895
48,232.8200,233.4500,232.7700,233.3800,2018-10-03 10:15:00,1331757
49,233.3400,233.4300,231.8600,231.9200,2018-10-03 10:00:00,2403995
50,231.9000,232.3000,231.5200,231.5300,2018-10-03 09:45:00,1707688
51,231.5799,231.7600,229.8100,230.1500,2018-10-03 09:30:00,3259472
52,229.3300,229.7400,229.3200,229.4295,2018-10-02 15:45:00,1470293
53,229.4400,229.4600,228.6700,228.6700,2018-10-02 15:30:00,953988
54,228.6400,228.9600,227.9300,228.9600,2018-10-02 15:15:00,1177965
55,229.0000,229.5850,228.6900,229.5850,2018-10-02 15:00:00,1067219
56,229.5850,229.6100,229.3500,229.4675,2018-10-02 14:45:00,533970
57,229.4800,229.8900,229.4600,229.8650,2018-10-02 14:30:00,598706
58,229.8800,230.0000,229.6001,229.6900,2018-10-02 14:15:00,601284
59,229.7200,229.8700,229.4500,229.5200,2018-10-02 14:00:00,406054
60,229.5100,229.8400,229.3800,229.8070,2018-10-02 13:45:00,428380
61,229.8100,229.8280,229.3400,229.4060,2018-10-02 13:30:00,464692
62,229.3800,229.4201,229.0700,229.0800,2018-10-02 13:15:00,329916
63,229.0700,229.3800,229.0300,229.2000,2018-10-02 13:00:00,453012
64,229.2000,229.9100,229.0310,229.8949,2018-10-02 12:45:00,876122
65,229.8900,230.0000,229.7230,229.7750,2018-10-02 12:30:00,602523
66,229.7330,229.8000,229.3400,229.4600,2018-10-02 12:15:00,717366
67,229.4753,229.8800,229.4592,229.8100,2018-10-02 12:00:00,634152
68,229.8099,229.8500,229.2700,229.3400,2018-10-02 11:45:00,918627
69,229.3000,229.5500,229.1400,229.2700,2018-10-02 11:30:00,962711
70,229.2400,229.3364,228.8400,228.9900,2018-10-02 11:15:00,676291
71,228.9900,229.1700,228.7200,229.1300,2018-10-02 11:00:00,604524
72,229.1400,229.3500,228.3400,228.6700,2018-10-02 10:45:00,864160
73,228.6700,229.3900,228.6600,229.1698,2018-10-02 10:30:00,828637
74,229.1998,229.2500,228.5900,228.7450,2018-10-02 10:15:00,960364
