Date,Open,High,Low,Close,Adj Close,Volume
11/1/2008,15.132857,15.97,11.305715,13.238571,11.73276,5904865400
12/1/2008,13.042857,14.8,12.078571,12.192857,10.805989,5053461700
1/1/2009,12.268572,13.881429,11.171429,12.875714,11.411176,4526435200
2/1/2009,12.728572,14.714286,12.358571,12.758572,11.307357,3466862700
3/1/2009,12.588572,15.711429,11.761429,15.017143,13.309031,3856149500
4/1/2009,14.87,18.171429,14.841429,17.975714,15.931079,2955420300
5/1/2009,17.971428,19.414286,17.054285,19.401428,17.194626,2364285700
6/1/2009,19.495714,20.914286,18.982857,20.347143,18.03277,3168893000
7/1/2009,20.5,23.571428,19.202858,23.341429,20.686476,2735534200
8/1/2009,23.601429,24.641428,22.774286,24.030001,21.296726,2041281200
9/1/2009,23.998571,26.985714,23.444286,26.478571,23.466782,2497329800
10/1/2009,26.478571,29.815714,25.814285,26.928572,23.865601,3239044200
11/1/2009,27.114286,29.714285,26.51,28.558571,25.310196,2113696200
12/1/2009,28.891428,30.564285,26.954287,30.104286,26.680096,2848489700
1/1/2010,30.49,30.798571,27.178572,27.437143,24.316326,3792248600
2/1/2010,27.481428,29.309999,27.264286,29.231428,25.906523,2694020000
3/1/2010,29.392857,33.925713,29.35,33.57143,29.752874,3038543200
4/1/2010,33.915714,38.922855,33.25,37.298573,33.056076,3091782400
5/1/2010,37.691429,38.26857,28.464285,36.697144,32.52306,4520663700
6/1/2010,37.098572,39.85857,34.599998,35.932858,31.845707,4162813200
7/1/2010,36.328571,37.998573,34.228573,36.75,32.569897,3917426100
8/1/2010,37.205715,37.754284,33.651428,34.728573,30.778406,2397280200
9/1/2010,35.352856,42.104286,35.182858,40.535713,35.925018,2962479800
10/1/2010,40.878571,45.57143,39.681427,42.997143,38.106464,3058644400
11/1/2010,43.174286,45.900002,42.537144,44.450001,39.394066,2377021500
12/1/2010,45.03857,46.665714,44.984287,46.080002,40.838676,1743308700
1/1/2011,46.52,49.799999,46.405716,48.474285,42.960613,2710383900
2/1/2011,48.757141,52.128571,48.245716,50.458572,44.719208,2323987400
3/1/2011,50.781429,51.667141,46.60857,49.787144,44.124142,2826614700
4/1/2011,50.158573,50.732857,45.737144,50.01857,44.329247,2313457300
5/1/2011,49.962856,50.261429,47.060001,49.689999,44.038055,1728015100
6/1/2011,49.83857,50.304287,44.357143,47.952858,42.498489,2315962600
7/1/2011,47.992859,57.785713,47.742859,55.782856,49.437874,2663486700
8/1/2011,56.825714,57.07143,50.431427,54.975716,48.722553,4035649800
9/1/2011,55.117142,60.408573,52.354286,54.474285,48.278152,2994362000
10/1/2011,54.33857,60.957142,50.605713,57.825714,51.248379,3285356900
11/1/2011,56.772858,58.285713,51.902859,54.599998,48.389565,2240925400
12/1/2011,54.648571,58.441429,53.954285,57.857143,51.276226,1576633100
1/1/2012,58.485714,65.46286,58.42857,65.211426,57.794006,1714963600
2/1/2012,65.487144,78.230003,64.854286,77.491432,68.677238,2842138600
3/1/2012,78.309998,88.778572,73.745712,85.650002,75.907799,3896084500
4/1/2012,85.975716,92,79.285713,83.425713,73.936523,3899747600
5/1/2012,83.557144,85.251427,74.597145,82.53286,73.14521,2776586400
6/1/2012,81.308571,84.285713,78.35714,83.428574,73.939056,1963956400
7/1/2012,83.53286,88.552856,81.428574,87.251427,77.327087,2227412600
8/1/2012,87.987144,97.267143,85.75,95.034286,84.224686,2069051600
9/1/2012,95.108574,100.724289,93.714287,95.300003,84.822784,2299751300
10/1/2012,95.879997,96.678574,83.957146,85.045715,75.695862,3035707500
11/1/2012,85.459999,86.14286,72.25,83.611427,74.419266,3232462800
12/1/2012,84.807144,84.941429,71.604286,76.024284,67.975296,3033188200
1/1/2013,79.117142,79.285713,62.142857,65.07,58.180794,3280855900
2/1/2013,65.587143,69.277145,62.522858,63.057144,56.381039,2336008500
3/1/2013,62.57143,67.135712,59.857143,63.237144,56.871506,2294219200
4/1/2013,63.128571,63.607143,55.014286,63.254284,56.886917,2740872400
5/1/2013,63.494286,66.535713,59.842857,64.247147,57.779839,2361882600
6/1/2013,64.389999,64.918571,55.552856,56.647144,51.282078,1754634000
7/1/2013,57.527142,65.334282,57.317142,64.647141,58.524391,1634528700
8/1/2013,65.10714,73.391426,64.751427,69.602859,63.01075,2014584600
9/1/2013,70.442856,72.559998,63.888573,68.10714,62.063782,2157735300
10/1/2013,68.349998,77.035713,68.325714,74.671425,68.045624,1959433000
11/1/2013,74.860001,79.761429,73.197144,79.438568,72.389755,1306288900
12/1/2013,79.714287,82.162857,76.971428,80.145714,73.460564,1764349300
1/1/2014,79.382858,80.028572,70.507141,71.514282,65.549095,2191488600
2/1/2014,71.80143,78.741432,71.328575,75.177139,68.906433,1470091700
3/1/2014,74.774284,78.428574,74.687141,76.677139,70.701996,1250424700
4/1/2014,76.822861,85.632858,73.047142,84.298569,77.729515,1608765200
5/1/2014,84.571426,92.024284,82.904289,90.428574,83.381821,1433917100
6/1/2014,90.565712,95.050003,88.928574,92.93,86.166939,1206934800
7/1/2014,93.519997,99.440002,92.57,95.599998,88.642609,1035086000
8/1/2014,94.900002,102.900002,93.279999,102.5,95.040451,937077000
9/1/2014,103.059998,103.739998,96.139999,100.75,93.882469,1526420000
10/1/2014,100.589996,108.040001,95.18,108,100.638283,1360280200
11/1/2014,108.220001,119.75,107.720001,118.93,110.823257,820408200
12/1/2014,118.809998,119.25,106.260002,110.379997,103.302063,1073594600
1/1/2015,111.389999,120,104.629997,117.160004,109.647324,1304643800
2/1/2015,118.050003,133.600006,116.080002,128.460007,120.222733,1136535200
3/1/2015,129.25,130.279999,121.629997,124.43,116.910706,1138642100
4/1/2015,124.82,134.539993,123.099998,125.150002,117.587212,996135500
5/1/2015,126.099998,132.970001,123.360001,130.279999,122.407204,954152100
6/1/2015,130.279999,131.389999,124.480003,125.43,118.34256,878512600
7/1/2015,126.900002,132.970001,119.220001,121.300003,114.445923,1057507200
8/1/2015,121.5,122.57,92,112.919998,106.539444,1786018000
9/1/2015,110.150002,116.889999,107.360001,110.300003,104.538551,1206547300
10/1/2015,109.07,121.220001,107.309998,119.5,113.25798,1112323100
11/1/2015,120.800003,123.82,111,118.300003,112.120659,750640600
12/1/2015,118.75,119.860001,104.82,105.260002,100.188835,921529700
1/1/2016,102.610001,105.849998,92.389999,97.339996,92.650391,1271024100
2/1/2016,96.470001,98.889999,92.589996,96.690002,92.031723,810862600
3/1/2016,97.650002,110.419998,97.419998,108.989998,104.302032,746049600
4/1/2016,108.779999,112.389999,92.510002,93.739998,89.707985,872396200
5/1/2016,93.970001,100.730003,89.470001,99.860001,95.564751,900318100
6/1/2016,99.019997,101.889999,91.5,95.599998,92.045006,779055700
7/1/2016,95.489998,104.550003,94.370003,104.209999,100.334824,685779600
8/1/2016,104.410004,110.230003,104,106.099998,102.154556,630128500
9/1/2016,106.139999,116.18,102.529999,113.050003,109.435753,968015600
10/1/2016,112.709999,118.690002,112.279999,113.540001,109.91008,686914300
11/1/2016,113.459999,113.769997,104.080002,110.519997,106.986641,721305500
12/1/2016,110.370003,118.019997,108.25,115.82,112.692825,608771700
