day,log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median
01/02/1998,2.8862572162993063e-05,6.472782516371319e-05,0.0,104.77755376344086,104.888671875,104.8125
01/05/1998,2.1111928017616222e-05,-2.1645321943549893e-18,0.0,106.07023278061224,106.00625,106.125
01/06/1998,-3.082970803968882e-06,2.2912805911860325e-17,0.0,106.02833549222798,105.90401785714286,105.875
01/07/1998,-1.8619453191203117e-05,-1.3753266820470138e-05,0.0,103.32512953367876,103.13582516339869,103.1875
01/08/1998,1.7422494225229515e-05,6.923517289504763e-05,0.0,104.30823490813648,104.40246658805032,104.375
01/09/1998,-0.00010451309212342294,-2.404218317486606e-17,0.0,101.44893483709274,101.2373798076923,101.125
01/12/1998,4.9101700361432195e-05,9.199455433539505e-18,0.0,99.98105569948187,99.97612847222223,100.0
01/13/1998,3.8739016149660734e-05,1.4078365209724274e-17,0.0,101.47994987468671,101.66484375,101.625
01/14/1998,-2.1938100601630673e-05,-1.5982866858565097e-05,0.0,102.30186855670104,102.35414081885855,102.1875
01/15/1998,6.236711059364758e-06,-1.8679021949592787e-05,0.0,104.0146208226221,104.34474206349206,104.0
01/16/1998,3.0387381891628533e-06,5.89534931288993e-18,0.0,104.86020992366412,104.86072358630952,104.875
01/20/1998,6.0538768910114645e-05,3.9924831830442126e-06,0.0,106.75739074550128,107.0830078125,107.0
01/21/1998,-3.1427224134921404e-06,-7.543180307504805e-05,0.0,100.68969849246231,100.625,100.625
01/22/1998,-1.1206257654939789e-05,0.0,0.0,99.31488549618321,99.36126373626374,99.3125
01/23/1998,-1.6147629019543215e-05,-1.512634126200213e-17,0.0,99.49807692307692,99.43402777777777,99.5
01/26/1998,-2.9380782125586853e-05,-1.6094981250547312e-17,0.0,99.1462885604113,99.2925845790716,99.25
01/27/1998,-6.500812977261078e-06,4.602199936009211e-18,0.0,96.43452380952381,96.27083333333334,96.4375
01/28/1998,-3.293683336130223e-06,4.1922484002772836e-18,0.0,97.07525510204081,97.06076388888889,97.0625
01/29/1998,3.1360663691904675e-05,4.365604869075131e-05,0.0,98.68396529562982,98.875,98.875
01/30/1998,1.1623620321295787e-05,-7.779150587583494e-18,0.0,99.05328002610966,99.11302083333334,99.1875
02/02/1998,1.1280251962892953e-05,-5.8596957414485805e-18,0.0,100.7097293814433,100.76352813852813,100.75
02/03/1998,-1.9131889094215402e-05,-7.662659348072726e-06,0.0,99.54854060913705,99.45,99.5625
02/04/1998,-2.104986991435984e-05,-1.2045486136313954e-17,0.0,99.15011160714286,99.19673295454545,99.25
02/05/1998,1.1321099525073838e-05,-6.4662929569263676e-18,0.0,98.83333333333333,98.75,98.75
02/06/1998,-2.7438894150191667e-05,-2.90166353954512e-05,0.0,98.35437817258884,98.22933467741936,98.25
02/09/1998,-3.3544669263235864e-06,-1.4709009473386676e-17,0.0,98.70652887139107,98.52008928571428,98.625
02/10/1998,7.17692794336544e-05,-1.1902022955990426e-18,0.0,100.59351265822785,100.99867424242424,101.0
02/11/1998,2.7085489399763044e-05,0.0,0.0,102.57978896103896,102.53144409937889,102.5625
02/12/1998,2.57054932531713e-05,5.170594055503195e-05,0.0,102.3115157480315,102.37386363636364,102.25
02/13/1998,-8.30477826772988e-06,-1.8865117801247777e-17,0.0,102.8515625,102.74732142857144,102.8125
02/17/1998,-2.67772274820377e-05,-1.2088244550551147e-05,0.0,102.75193298969072,103.019375,102.96875
02/18/1998,2.0824482087714423e-05,1.800119797491806e-18,0.0,102.96605039267016,103.01853390957447,103.0625
02/19/1998,-6.247133298956174e-06,7.304655475189522e-06,0.0,104.0176282051282,104.22786458333334,104.1875
02/20/1998,-9.52329101056031e-06,-5.859020822089221e-05,0.0,102.31990559895833,102.18620495495495,102.3125
02/23/1998,-1.4312090745795677e-05,-2.9764419164833697e-05,0.0,103.36608311518324,103.33554147465438,103.375
02/24/1998,-3.198869275935753e-06,1.2545767995903694e-18,0.0,102.34440445026178,102.39555481283422,102.375
02/25/1998,6.649383987706917e-05,6.055920135964761e-05,0.0,104.13108974358974,104.28773709167544,104.3125
02/26/1998,1.8482886305369642e-05,0.0,0.0,105.18305878552971,105.17992424242425,105.1875
02/27/1998,-9.14345211177622e-06,-3.666574619678251e-18,0.0,104.7994592875318,105.00475045787546,104.875
03/02/1998,-5.9379864947057434e-05,-8.934014755033256e-05,0.0,103.13835751978891,103.52613636363637,103.4375
03/03/1998,5.461653816123424e-05,7.883226974976944e-05,0.0,101.28303108808291,101.64027777777778,101.4375
03/04/1998,-7.856042934127001e-05,-4.997063506137241e-05,0.0,102.35170603674541,102.46391547049441,102.375
03/05/1998,-3.286673489146756e-05,-7.8345348851166e-06,0.0,99.6347911227154,99.73708062770564,99.6875
03/06/1998,-2.5669630006176613e-05,-5.722952087597504e-06,0.0,99.1484375,99.22083333333333,99.1875
03/09/1998,-2.6200964207598712e-05,9.951427083170522e-18,0.0,97.13888888888889,97.1578125,97.3125
03/10/1998,3.2810071940931135e-06,1.5153376162218379e-05,0.0,97.296875,97.26860119047619,97.25
03/11/1998,3.229141385253458e-05,-2.8189256484623115e-18,0.0,98.81591053299492,99.07091346153845,99.0
03/12/1998,2.811363562018797e-05,4.8203390331447895e-05,0.0,99.28848684210526,99.40064102564102,99.3125
03/13/1998,-3.2219611058744265e-05,-2.923142646714024e-05,0.0,100.07047358247422,99.921875,100.0
03/16/1998,4.018711371443032e-05,5.084756228942446e-05,0.0,99.85309278350516,100.00317513368984,99.75
03/17/1998,-1.1509768366445249e-05,-7.562310153086393e-18,0.0,100.39978448275862,100.49270833333333,100.4375
03/18/1998,2.3537149201337075e-05,0.0,0.0,101.6756329113924,101.65182291666667,101.8125
03/19/1998,3.0000708056779398e-05,0.0,0.0,102.54542525773196,102.61830357142858,102.5625
03/20/1998,-2.3811503903526076e-05,-1.4899356711261606e-05,0.0,102.23717532467532,102.325,102.3125
03/23/1998,-4.824699969926783e-06,1.3199230786978148e-05,0.0,102.70670572916667,102.94222005208334,102.875
