day,log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median
04/28/2011,2.654652592025114e-18,1.0494461363348517e-06,0.0,48.50758186397981,48.45168181818181,48.51
04/29/2011,1.2827674968881796e-05,5.122182260576637e-05,0.0,48.77359999999998,48.88029199110121,48.82
05/02/2011,-6.468832006277926e-05,-8.946169396088836e-05,0.0,48.32491525423731,48.714,48.16
05/03/2011,-4.386289242063603e-05,1.1844271562934004e-05,0.0,46.644695863746946,46.67557184750733,46.66
05/04/2011,-2.5552032811756816e-05,-4.024304943922327e-05,0.0,45.641122194513756,45.64333333333334,45.61
05/05/2011,-1.2577637438934578e-05,-6.662300545672817e-05,0.0,45.33983490566035,45.1768653846154,45.33
05/06/2011,-5.303972745768303e-06,-0.00012162960684090996,0.0,45.285201900237574,45.07160839160839,45.19
05/09/2011,2.5727915497962073e-05,-4.48826997895135e-06,0.0,45.656238095238145,45.737791666666666,45.74
05/10/2011,1.2209746028066605e-05,-2.586067838103452e-05,0.0,46.094647201946486,46.08821428571428,46.12
05/11/2011,-8.500110189850012e-05,-1.7488296860680117e-05,0.0,44.79171149144259,44.623571428571424,44.64
05/12/2011,5.6515386193924066e-05,-3.179465517610683e-05,0.0,44.71168564920272,44.83351076555024,44.78
05/13/2011,-2.743125069787182e-05,-7.902914849604626e-05,0.0,44.90128140703517,44.910946969696965,44.83
05/16/2011,-3.036858478095418e-18,-1.9994580279974552e-05,0.0,44.80969849246226,44.74286764705883,44.81
05/17/2011,-6.047679142935615e-06,5.2624765789403376e-05,0.0,44.01444174757277,43.958937500000005,43.98
05/18/2011,6.650622866812787e-05,8.538092108323347e-19,0.0,45.11393120393121,45.16879914529915,45.16
05/19/2011,-2.1461238165324542e-05,-1.473296524904937e-05,0.0,45.15255583126549,45.11753793103448,45.15
05/20/2011,5.200444659161142e-07,1.857217176577601e-05,0.0,45.317206572769955,45.478368055555556,45.39
05/23/2011,-1.0248658387992074e-05,1.168661339196507e-17,0.0,44.35532374100718,44.40039999999999,44.35
05/24/2011,1.2306863061015997e-05,-2.8043197640372258e-05,0.0,45.160551558752985,45.19375,45.18
05/25/2011,6.200427817973395e-05,1.192051405829849e-05,0.0,46.151750599520426,46.2308608058608,46.22
05/26/2011,2.0506425455598625e-05,6.8236470857365635e-06,0.0,46.49583959899753,46.522607526881714,46.53
05/27/2011,-2.2716067950952198e-05,-5.111922350290236e-05,0.0,46.77523929471032,46.648333333333326,46.79
05/31/2011,-1.2017864132621658e-05,4.4293625339346825e-18,0.0,46.766796116504786,46.703125,46.735
06/01/2011,-6.804266487295881e-05,1.0934937167723647e-05,0.0,46.14234999999998,46.1840625,46.16
06/02/2011,2.53825525338807e-05,-7.83336069620777e-18,0.0,46.04924939467314,46.08423529411764,46.05
06/03/2011,2.05657029299454e-05,-3.3176586478056436e-17,0.0,46.485271867612326,46.52462499999999,46.59
06/06/2011,-7.444222252408582e-05,-6.542644331417643e-05,0.0,45.47098795180725,45.37225,45.51
06/07/2011,-8.64907384652885e-06,-3.500649659987354e-05,0.0,45.20623786407764,45.20409090909091,45.21
06/08/2011,3.3536120046063095e-06,-2.4350240793277965e-05,0.0,44.984849999999994,44.946428571428555,45.0
06/09/2011,4.759949577856803e-05,6.061570626243898e-05,0.0,45.5662128712871,45.61557638888888,45.595
06/10/2011,-6.143371963712302e-05,-4.781441192641458e-05,0.0,44.86509756097561,44.989999999999995,44.84
06/13/2011,-5.2253539800582017e-05,-9.853045487811366e-05,-0.00022735023401332602,43.85962871287126,43.6929250841751,43.735
06/14/2011,3.5461587479888994e-05,5.0989176881178984e-05,0.0,44.67498753117206,44.70640789473685,44.71
06/15/2011,-5.009920313522842e-05,-4.7580238753867806e-05,0.0,44.07928921568627,44.11,44.025000000000006
06/16/2011,1.1426188452082002e-06,1.3617073295411182e-05,0.0,43.65825870646767,43.591875,43.68
06/17/2011,-3.682243670414064e-05,-7.653273542581444e-05,0.0,43.34473429951691,43.2767743490839,43.31
06/20/2011,3.9525811941656045e-06,4.082090428157884e-06,0.0,43.02827250608273,43.01678571428572,43.03
06/21/2011,3.427034705638871e-05,1.3319089621760446e-05,0.0,44.052649999999986,44.05115591397849,44.05
06/22/2011,7.12929707786094e-06,1.8182370640408725e-05,0.0,44.5679759036145,44.666147186147185,44.61
06/23/2011,1.5222493496214169e-05,2.9656612190108196e-05,0.0,43.21917431192661,43.29636904761905,43.2
06/24/2011,-5.7227825878847745e-05,-3.599945412870234e-05,0.0,43.43343137254904,43.3302564102564,43.38
06/27/2011,1.6597848664709028e-05,9.646664393855723e-06,0.0,42.87626535626537,42.83793889648882,42.83
06/28/2011,9.129291813711924e-05,7.454620529015409e-05,0.0,44.43147783251238,44.518125,44.53
06/29/2011,2.1797978719042827e-05,2.2755933115502667e-05,0.0,45.46177985948478,45.34625,45.49
06/30/2011,4.1399247549901884e-05,1.7080370110211568e-05,0.0,46.11199494949496,46.175535714285715,46.14
07/01/2011,2.8783080961900875e-05,7.200242283990853e-05,0.0,46.22771634615386,46.207586848635245,46.23
07/05/2011,1.534093142869164e-05,2.4495221702838656e-05,0.0,46.89882653061223,46.870714285714286,46.89
07/06/2011,-4.908535089566849e-06,3.1774718999212955e-05,0.0,46.689111675126874,46.6759375,46.71
07/07/2011,1.3683200957617372e-05,1.987473184740256e-05,0.0,47.23282178217824,47.193999999999996,47.25
07/08/2011,-1.132416288895575e-05,4.153854716401971e-05,0.0,46.821521739130425,46.88549999999999,46.82
07/11/2011,-3.1297290708953053e-05,-3.969829612759152e-05,0.0,45.86813895781646,45.81406818181818,45.83
07/12/2011,1.257952072076217e-05,-3.718190392963581e-05,0.0,45.63527093596054,45.679500000000004,45.62
07/13/2011,1.6475944479585992e-06,-9.319626176157563e-06,0.0,46.37567500000003,46.48350559578671,46.45
07/14/2011,-2.586835196700332e-05,1.4785432410677633e-05,0.0,45.686956521739106,45.59737468671679,45.6
07/15/2011,5.493713774705748e-05,5.856215160650188e-05,0.0,46.428226600985276,46.5171568627451,46.49
07/18/2011,-1.1764073550119316e-05,-8.809078509719325e-06,0.0,46.451712158808924,46.438900560224084,46.45
07/19/2011,4.641014255903811e-05,-4.613731994831024e-17,0.0,47.35707616707614,47.2810593220339,47.33
07/20/2011,-9.787324298801098e-06,-2.8928304938015538e-05,0.0,47.627518427518375,47.66237373737374,47.65
07/21/2011,2.3467553795130194e-05,4.499457831394478e-06,0.0,48.233488943488986,48.260000000000005,48.26
07/22/2011,2.4095212794820144e-05,1.2348143861030328e-05,0.0,48.95609112709831,49.057462121212126,49.03
07/25/2011,3.606217601600047e-05,5.065342941038587e-06,0.0,49.21289603960399,49.26233333333333,49.23
07/26/2011,-8.025125650981077e-06,-2.4106028035782075e-06,0.0,49.317777777777735,49.34020833333332,49.33
07/27/2011,-4.8684716201555524e-05,-8.37874172560636e-06,0.0,48.34665822784813,48.288055555555545,48.33
07/28/2011,1.7642193831327458e-05,8.320275386611308e-06,0.0,48.55452736318416,48.59563636363636,48.55
