day,log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median
08/18/1998,3.9430049124718135e-05,4.235852321980659e-06,0.0,45.426981132075426,45.409365079365074,45.41
08/19/1998,8.74457377526504e-06,3.6337790984605764e-05,0.0,45.98893333333334,45.99543243243242,45.97
08/20/1998,-3.035309694871484e-05,-8.466457321926983e-18,0.0,45.61608108108106,45.68,45.68
08/21/1998,7.518569542919776e-06,2.318049723719862e-05,0.0,44.711458333333276,44.64071428571428,44.68
08/24/1998,1.189769219230956e-05,4.2341137322917015e-05,0.0,45.19349462365584,45.196795634920655,45.17
08/25/1998,-1.4758860192982011e-05,-2.434337677313318e-05,0.0,45.84203753351205,45.93117816091954,45.92
08/26/1998,7.245454817268821e-05,1.61093484176964e-05,0.0,45.81639386189257,45.92238095238095,45.92
08/27/1998,-7.005136673748508e-05,-0.00011906313619548293,0.0,44.757468354430365,44.7331081081081,44.77
08/28/1998,-5.6099285578984335e-05,-8.602427493839792e-05,0.0,43.615268542199544,43.60209677419354,43.6
08/31/1998,-0.00022454600072665593,-0.00013012237625924537,0.0,41.83159898477154,41.92525,41.94
09/01/1998,0.00010919724369512524,2.4437928150230684e-05,0.0,41.003807106598956,41.243125,41.15
09/02/1998,-1.0808879274108107e-05,-5.288162144536892e-05,0.0,43.222736572890085,43.110866666666666,43.27
09/03/1998,6.577890099943551e-05,1.3623794149884742e-05,0.0,42.73879895561358,42.7590625,42.72
09/04/1998,-6.619676390900241e-05,-2.7873030850981505e-18,0.0,42.35149100257071,42.24307692307693,42.43
09/08/1998,2.149735228631487e-05,-1.2390881971262907e-19,0.0,43.745793650793644,43.75236363636363,43.69
09/09/1998,-4.90528773010591e-05,-1.816537218489345e-05,0.0,44.365319693094676,44.33666666666666,44.37
09/10/1998,8.103124881873079e-06,-2.370578551991079e-05,0.0,43.139343434343445,43.28,43.18
09/11/1998,0.00010771332264883648,0.00014467598285841513,0.0,44.025615384615406,43.995,44.02
09/14/1998,2.7119661669013555e-05,1.122145613918871e-05,0.0,45.67853846153858,45.6982183908046,45.730000000000004
09/15/1998,1.7420049548957398e-05,2.980300322342517e-05,0.0,45.848821917808216,45.87033333333333,45.88
09/16/1998,7.223611524465112e-06,-2.5247373928371388e-05,0.0,45.74907928388745,45.72025000000001,45.72
09/17/1998,-1.5667584195421755e-05,-2.9819507566503842e-05,0.0,45.05286458333336,45.0225,45.04
09/18/1998,-4.370210428713963e-05,-4.258308370920457e-05,0.0,44.427287234042595,44.42400000000001,44.44
09/21/1998,0.00017117820633806295,0.00011380520655072918,0.0,43.825052631578956,43.907127329192534,43.8
09/22/1998,-3.355904829210863e-05,4.565310490555723e-05,0.0,45.570319999999995,45.66894999999999,45.55
09/23/1998,6.493410231411836e-05,2.141900854933688e-05,0.0,46.00301020408167,46.056570512820514,45.99
09/24/1998,-1.9777999995395125e-05,-5.38727972932699e-05,0.0,46.88351562499994,47.03127272727272,46.97
09/25/1998,6.975215617240708e-05,1.8143552068375893e-05,0.0,46.577232375979044,46.55369791666668,46.54
09/28/1998,-1.7485074553018482e-05,-1.0480621000693209e-18,0.0,47.53850666666664,47.7715873015873,47.56
09/29/1998,-4.5742383030962996e-05,-6.016043749605756e-05,0.0,46.626486486486456,46.64175057208239,46.72
09/30/1998,-4.536911688196116e-05,-2.637362849091021e-05,0.0,45.94684210526314,45.89138888888888,45.92
10/01/1998,6.390291894029664e-06,1.3687087451171424e-05,0.0,44.14856041131108,44.19001587301588,44.18
10/02/1998,1.3911529544165925e-05,0.00011815205489080864,0.0,43.297709923664186,43.64966666666667,43.45
