day,log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median
07/26/2012,5.6860053298053716e-05,-5.853088172054178e-05,0.0,33.327882136279925,33.314,33.29
07/27/2012,3.3789387914687546e-05,5.472951720649504e-05,0.0,33.89997512437811,33.95878458498024,33.93
07/30/2012,8.192119200724944e-06,-1.2785633929569039e-05,0.0,34.256826484018255,34.25857142857143,34.25
07/31/2012,4.2028950404929864e-05,-3.783791715375476e-05,0.0,34.251509433962205,34.2142380952381,34.26
08/01/2012,-2.972602332183446e-05,-0.00010039141949970918,0.0,33.93045112781957,33.9652034883721,33.94
08/02/2012,9.235918851883214e-05,4.988884890887163e-05,0.0,33.92794486215539,33.805,33.89
08/03/2012,5.8168313146968265e-05,4.088381383147824e-05,0.0,35.03699757869248,35.064375,35.04
08/06/2012,-2.8809625522965836e-06,6.333219553103587e-06,0.0,35.295959595959616,35.32083333333334,35.3
08/07/2012,-2.136123901645657e-06,-2.3161366422110502e-05,0.0,35.84045569620251,35.89121794871795,35.88
08/08/2012,9.919635469681714e-06,1.9022920721889798e-05,0.0,36.05680100755668,36.159166666666664,36.15
08/09/2012,8.32722998203522e-05,5.0391085941847144e-05,0.0,36.584175000000016,36.44567948717949,36.52
08/10/2012,0.00016532864530898289,2.0835516953486518e-05,0.0,37.49651741293527,37.66916666666667,37.68
08/13/2012,3.28833338569312e-05,4.59148407261863e-05,0.0,37.82702020202022,37.78065359477123,37.79
08/14/2012,-1.9248734412048783e-05,-2.822401683007617e-05,0.0,37.90566084788033,37.93557692307692,37.92
08/15/2012,4.072159507191591e-06,2.2006005228166196e-05,0.0,37.70240409207166,37.714861111111105,37.71
08/16/2012,8.89990826708291e-05,7.138120550478471e-05,0.0,38.58254950495052,38.764999999999986,38.67
08/17/2012,6.34562463173485e-07,5.79686761555583e-18,0.0,38.877616707616724,38.858809523809526,38.87
08/20/2012,-6.49749784944558e-07,-2.3407150473838838e-18,0.0,38.736775818639714,38.72942307692307,38.72
08/21/2012,-4.1228026799975215e-05,-2.945332072403598e-05,0.0,38.24914786967417,38.208749999999995,38.23
08/22/2012,2.1926510397582617e-05,-2.994765167852954e-06,0.0,38.03591478696739,38.056875000000005,38.04
08/23/2012,-4.175305639142975e-05,-6.395252318598521e-06,0.0,37.14054590570722,37.17992401215805,37.18
08/24/2012,2.0181982012551968e-06,-1.6229006641568768e-05,0.0,37.21912500000007,37.21243421052632,37.235
08/27/2012,6.74925904839957e-06,-2.077364722549072e-17,0.0,37.5867171717172,37.63374999999999,37.59
08/28/2012,-8.919682237967789e-06,1.57985825017625e-05,0.0,37.29808673469384,37.34483333333334,37.34
08/29/2012,-6.169338939494163e-06,1.7868310979106533e-05,0.0,37.23190839694662,37.27139784946236,37.29
08/30/2012,-8.847772542041596e-05,-0.0001001062625844812,0.0,36.205625,36.130875,36.16
08/31/2012,-3.092903659056624e-05,6.352836582878828e-06,0.0,35.88229064039406,35.81407531194294,35.85
09/04/2012,3.5949770793080076e-05,4.986609452164916e-05,0.0,36.17758186397988,36.22,36.2
09/05/2012,-2.384316126367975e-05,-3.144960786559804e-05,0.0,35.911486146095704,35.86416666666666,35.89
09/06/2012,0.0002597983340983293,5.563436911221268e-05,0.0,36.595436408977555,36.834999999999994,36.82
09/07/2012,-5.640489438233474e-05,-6.107111717970108e-05,0.0,36.20012315270938,36.07005681818181,36.1
09/10/2012,-2.598793457932007e-05,-8.536065099865905e-06,0.0,35.554278606965156,35.53943609022557,35.52
09/11/2012,2.9379906334428614e-05,3.7473538516344566e-05,0.0,36.10104477611941,36.155125,36.18
09/12/2012,1.062096613540484e-05,-6.244009805848956e-05,0.0,35.87010025062661,35.752800925925925,35.77
09/13/2012,2.622489927781326e-05,9.054743456725811e-05,0.0,35.785654101995576,35.90597959183673,35.76
09/14/2012,0.00018337781471024068,-3.161126959153049e-18,0.0,35.62341463414637,35.29675304878049,35.275000000000006
09/17/2012,-8.205183195854507e-05,-7.742433083782461e-05,0.0,34.26537897310514,34.264583333333334,34.28
09/18/2012,-1.4669758500926624e-06,1.0596825233539092e-17,0.0,33.74618811881181,33.785129870129865,33.72
09/19/2012,-5.774568755271511e-05,-4.191594746679928e-05,0.0,33.67205882352942,33.70900000000001,33.7
09/20/2012,5.322018232609721e-05,1.4214641502550517e-05,0.0,33.460198019801965,33.51109986504723,33.49
09/21/2012,0.00012765861284249442,2.440673408850303e-05,0.0,34.21514218009474,34.33833333333334,34.335
09/24/2012,-2.918817805171674e-06,8.069044427080853e-06,0.0,34.36029776674935,34.35135714285714,34.37
09/25/2012,-1.531261055955647e-05,-5.580259933469228e-05,0.0,34.55878411910666,34.5391875,34.57
09/26/2012,-4.4087735186062913e-05,6.247813312193418e-06,0.0,33.315363408521314,33.33611111111111,33.33
09/27/2012,5.318031444411012e-05,5.562068242376799e-05,0.0,33.88019851116621,33.98214285714286,33.96
09/28/2012,-2.7245302121200762e-05,-1.6472662451188154e-05,0.0,33.452790123456765,33.436041666666675,33.44
10/01/2012,-3.101870629409322e-05,-1.673864333734883e-05,0.0,33.30476309226932,33.32791666666667,33.29
10/02/2012,-1.8761540899227107e-05,-4.148247839285069e-05,0.0,32.88423267326736,32.8615037593985,32.87
10/03/2012,-3.6196933230863386e-05,-5.7741384045506884e-05,0.0,32.6412531328321,32.71415384615385,32.71
10/04/2012,5.726031801233904e-05,1.689902843618146e-05,0.0,32.856234413965126,32.86391025641026,32.88
10/05/2012,-5.385988802137695e-06,3.183217578417441e-18,0.0,32.84543859649127,32.858687500000016,32.86
10/08/2012,3.950023147023501e-05,-1.8905021750187056e-05,0.0,33.09070528967255,33.09055555555556,33.11
10/09/2012,-6.286492686018046e-05,-5.0377470366063436e-05,0.0,32.28039800995028,32.269285714285715,32.25
10/10/2012,-4.5675867739068214e-05,-7.595438552801228e-18,0.0,31.557079207920797,31.512666666666668,31.45
10/11/2012,4.666008620438148e-06,-1.7838002200450845e-05,0.0,31.81821951219511,31.65369565217392,31.79
10/12/2012,4.1934450143842315e-05,1.3711209280896674e-05,0.0,30.873426573426592,30.863916666666665,30.85
10/15/2012,-1.4841143134924329e-05,9.617776771756828e-18,0.0,30.66519083969466,30.669372469635633,30.69
10/16/2012,2.2372926867769864e-05,-3.800402874970257e-06,0.0,31.32855721393034,31.328766666666667,31.33
10/17/2012,-4.08759808720253e-06,-1.3326936517469405e-05,0.0,31.144035532994934,31.103857142857137,31.12
10/18/2012,-7.58478716516296e-05,-1.9898736642494235e-05,0.0,30.89343434343433,30.936884920634927,30.915
10/19/2012,-5.055028996272396e-05,-2.345175109070611e-05,0.0,30.26553086419752,30.40625,30.2
10/22/2012,-0.00010521383976971431,8.6144414350968e-06,0.0,30.085651376146743,30.21035714285714,30.22
10/23/2012,9.753281895195595e-05,-8.802274853512994e-06,0.0,29.313393939393915,29.394285714285715,29.55
10/24/2012,-5.9032697771432634e-05,-4.57639889470886e-05,0.0,29.20389162561577,29.133232758620693,29.19
10/25/2012,-1.7196136348876337e-06,-1.170494587243349e-05,0.0,29.505163727959715,29.53033333333333,29.51
10/26/2012,-1.2786606802688516e-05,2.150334308762917e-18,0.0,29.46964912280702,29.481706730769233,29.47
10/31/2012,2.8091870481650892e-05,-1.3044445541264782e-05,0.0,29.50756218905469,29.545781249999997,29.505000000000003
11/01/2012,0.0001100317579145008,2.734843935044797e-05,0.0,30.374030226700306,30.386666666666667,30.41
11/02/2012,-1.1476916445523923e-05,-8.640876608153481e-06,0.0,30.48375621890553,30.480357142857137,30.48
11/05/2012,6.083232104717104e-05,-6.7684646089347365e-06,0.0,30.763299748110864,30.745,30.78
11/06/2012,9.777156112524796e-05,8.981417935297518e-05,0.0,31.67876262626267,31.797931034482755,31.79
11/07/2012,-0.00010382627603250674,-7.693471098225714e-05,0.0,30.84872180451129,30.751168831168833,30.79
11/08/2012,-2.066114832891117e-05,-5.015316761328018e-05,0.0,30.370049504950476,30.344358974358975,30.365000000000002
11/09/2012,4.100526577327758e-05,-3.128651525136916e-05,0.0,30.49751879699248,30.553333333333335,30.52
11/12/2012,-4.46599083894867e-05,-1.8304342080235865e-05,0.0,29.87669191919192,29.83877551020408,29.83
11/13/2012,1.2721702095853e-05,1.111307226797642e-18,0.0,30.001284634760694,30.084444444444436,30.06
11/14/2012,-8.654857880871659e-05,-2.9766981238330385e-05,0.0,29.44419999999998,29.403333333333332,29.43
11/15/2012,-1.023084752313397e-05,1.803071643901467e-05,0.0,29.17577114427861,29.16789855072465,29.17
11/16/2012,5.5826587976843934e-05,4.502035166977841e-05,0.0,29.428387096774177,29.392045454545453,29.4
11/19/2012,1.009966327350836e-05,-3.0630310915862565e-05,0.0,30.16366161616165,30.12806967984935,30.15
11/20/2012,-5.288670265920671e-05,1.1533587824876156e-17,0.0,29.42277777777779,29.46966269841271,29.43
11/21/2012,1.6543050370877507e-05,1.3813693315101054e-05,0.0,29.585487179487146,29.544038461538463,29.585
11/23/2012,-2.6670964576465122e-05,0.0,0.0,30.142837209302275,30.17905487804878,30.19
11/26/2012,7.141817383689902e-05,0.00011177595333558478,0.0,30.40429280397023,30.24676691729323,30.34
11/27/2012,-8.35913149888251e-05,-0.0001529495275384263,0.0,30.229174999999994,30.16102205882354,30.19
11/28/2012,-4.708493244826578e-05,9.595189226496714e-18,0.0,29.26938271604937,29.262969696969698,29.28
11/29/2012,-5.551115123125783e-19,5.2004514502391135e-06,0.0,29.09448877805483,29.15916666666667,29.08
11/30/2012,-4.7884816282272764e-05,-5.95043295305646e-06,0.0,29.109902439024356,28.999250000000004,29.07
12/03/2012,-4.382969067695577e-06,2.647955305878059e-19,0.0,28.88522613065327,28.820279761904764,28.83
12/04/2012,2.965224824143454e-05,2.503231486473885e-19,0.0,28.90358395989974,28.894375,28.89
12/05/2012,0.00018462293374414758,3.237817965440522e-05,0.0,31.034651741293533,31.243522727272726,31.275
12/06/2012,6.732823583444406e-05,4.465681821505617e-05,0.0,31.79529850746269,31.85156862745098,31.865000000000002
12/07/2012,4.204396818326759e-05,0.00017200036472773974,0.0,32.15124688279299,32.118875,32.13
12/10/2012,6.754506915697366e-05,1.3032734558946777e-05,0.0,33.0795599022005,33.155454545454546,33.14
12/11/2012,-2.8603722067699405e-05,-1.1674469193167075e-05,0.0,33.00181592039803,33.049622456964016,32.95
12/12/2012,2.484436283996726e-05,2.0928974079586254e-18,0.0,32.96133651551319,32.987306547619056,32.99
12/13/2012,-6.83500955175377e-06,7.549419949151874e-05,0.0,32.944962779156334,32.93426829268293,32.93
12/14/2012,8.591546429614653e-06,4.49487126534501e-05,0.0,32.71642857142858,32.74351562500001,32.72
12/17/2012,3.2618539628928156e-05,5.048037213153639e-05,0.0,32.99106965174126,32.991782456140356,32.98
12/18/2012,8.333576118445413e-05,3.845534549548981e-05,0.0,34.024753694581264,34.054125,34.07
12/19/2012,0.00012272468520603728,-1.8078288242807815e-05,0.0,35.65646370023423,35.69949275362319,35.7
12/20/2012,4.410187511767773e-05,2.865554544068098e-05,0.0,36.334058679706644,36.55316666666667,36.46
12/21/2012,2.771161701040314e-05,3.599120613560051e-05,0.0,36.11396270396273,35.993070175438596,36.03
12/24/2012,-1.6727999015387702e-05,9.840001636645256e-06,0.0,36.249999999999964,36.25,36.25
12/26/2012,1.439740713002892e-05,-3.7717622066927705e-05,0.0,36.69825436408976,36.68805555555554,36.66
12/27/2012,-7.564533745304289e-06,3.846804868482684e-06,0.0,36.23792500000006,36.24714285714286,36.215
12/28/2012,-9.724989834561393e-06,-1.3940720105270124e-05,0.0,36.232325000000024,36.251666666666665,36.25
12/31/2012,0.00016410526440583206,2.7144686460207277e-05,0.0,36.564813895781626,36.60125,36.57
01/02/2013,0.0002538342393880728,-9.394230808738018e-06,0.0,37.5551485148515,37.52142857142857,37.52
01/03/2013,-2.7587307414220346e-05,2.0498226748712494e-05,0.0,37.66041131105397,37.67547619047619,37.67
01/04/2013,-8.836468201945834e-06,-4.15147565716104e-05,0.0,37.216994949495,37.225476190476186,37.24
01/07/2013,1.5626350537767347e-05,-2.0236509739918638e-05,0.0,37.411557788944684,37.36077631578948,37.38
01/08/2013,0.0001668186013178315,-6.325033691986662e-05,0.0,36.499796839729086,36.419062499999995,36.38
01/09/2013,0.00013275820194451617,1.0829333470428502e-05,0.0,37.79125000000003,37.82976190476191,37.81
01/10/2013,1.926808978895398e-06,-1.7403005103232045e-05,0.0,38.228799019607806,38.24071428571429,38.22
01/11/2013,3.238199761648346e-05,-1.0091211720408833e-17,0.0,38.24627499999991,38.26195852534562,38.23
01/14/2013,8.350765352463854e-06,-1.954446599879211e-05,0.0,38.29744416873453,38.1468956043956,38.14
01/15/2013,-4.304770464728467e-05,5.446507083997267e-05,0.0,38.594849246231114,38.523166666666654,38.605000000000004
01/16/2013,-4.933357237376003e-05,6.2000709605896e-05,0.0,39.28557788944723,39.287564102564104,39.3
01/17/2013,-1.3359995831344298e-05,-9.815372890217702e-06,0.0,39.36042499999997,39.35666666666667,39.34
01/18/2013,-3.348416196909464e-05,-1.0812682629392553e-05,0.0,38.80904761904763,38.856875,38.87
01/22/2013,0.00012104214330917008,2.8106874078829842e-05,0.0,40.865862068965555,41.048060344827576,41.01
01/23/2013,-5.491326586144327e-05,7.388788134831125e-05,0.0,40.86443478260875,40.9435,40.88
01/24/2013,7.890090182574289e-05,9.079683469311546e-06,0.0,41.84237288135591,41.86767857142857,41.77
01/25/2013,1.1454521803356204e-05,-2.2828936232611123e-05,0.0,41.83985074626869,41.78,41.83
01/28/2013,-6.517210052091141e-06,3.168382251982622e-05,0.0,42.320400890868555,42.30631944444444,42.37
01/29/2013,-6.035616071189019e-05,-0.00011705632660292472,0.0,39.9665625,40.07616379310345,40.025000000000006
01/30/2013,3.30318112645713e-05,-3.6154597239239495e-06,0.0,40.68210526315789,40.71962499999999,40.7
01/31/2013,2.430890427011641e-05,1.3781701355733123e-05,0.0,40.83735294117651,40.901875000000004,40.89
02/01/2013,-2.2134920793137313e-05,-9.362860189535535e-18,0.0,40.635411471321724,40.70591666666667,40.66
02/04/2013,-6.20347712846377e-06,2.8925127961932044e-05,0.0,40.49359102244394,40.43833333333333,40.44
02/05/2013,8.766072614790014e-06,-2.8693169736628383e-06,0.0,40.589571788413096,40.604054054054046,40.58
02/06/2013,7.610474435108309e-05,5.625898803678394e-05,0.0,41.194788029925135,41.21750939849624,41.18
02/07/2013,7.30158029663089e-06,6.322989481369356e-05,0.0,40.88230000000001,41.01924285714286,40.87
02/08/2013,5.656638011561717e-05,1.8570809698004032e-05,0.0,42.31112500000001,42.3078050595238,42.33
02/11/2013,1.4347292740912327e-05,3.450855365026716e-05,0.0,42.17666666666668,42.20283333333333,42.19
02/12/2013,-2.3570778186639564e-05,1.0153487235438184e-17,0.0,41.930759493670905,41.878187499999996,41.88
02/13/2013,1.199362276039356e-05,4.9139641149760147e-05,0.0,42.1918891687657,42.212254901960776,42.21
02/14/2013,-3.360755004837273e-18,-2.296807218832204e-06,0.0,42.44277500000012,42.44375,42.42
02/15/2013,1.1849682266335684e-06,6.16953417713377e-05,0.0,42.18057213930345,42.16916666666667,42.17
02/19/2013,-3.6809467760168584e-05,-2.666087635009953e-05,0.0,42.30826302729528,42.35009803921568,42.32
02/20/2013,-0.00010541166348157874,-6.725290284727517e-05,0.0,41.32477611940297,41.39088235294119,41.38
02/21/2013,-7.343474827436691e-06,6.428187074638379e-05,0.0,39.7897794117647,39.77006666666667,39.76
02/22/2013,3.78873579818631e-06,7.394535477256894e-06,0.0,39.76964912280703,39.771489361702116,39.76
02/25/2013,-4.4233017409078595e-05,-0.00011584839558195412,0.0,39.40957393483709,39.458495238095246,39.41
02/26/2013,5.0452713403833394e-05,-3.148218125193054e-06,0.0,39.690849999999976,39.75223809523809,39.75
02/27/2013,6.52826810075424e-05,3.99381383837552e-05,0.0,40.613291457286444,40.70561688311689,40.685
02/28/2013,-9.59525499367858e-06,4.2097415403137175e-05,0.0,41.06719512195116,41.14630952380953,41.06
03/01/2013,5.662008253134432e-05,3.5239034255122914e-05,0.0,41.52009925558317,41.66044871794871,41.73
03/04/2013,-5.975652233963023e-07,3.593756338971349e-19,0.0,41.523712871287145,41.53208333333333,41.57
03/05/2013,2.1142016436293406e-05,1.975272959409831e-05,0.0,41.76528822055137,41.70990253411307,41.75
03/06/2013,4.191962870810093e-06,-7.25552450380588e-05,0.0,42.57924242424239,42.55766666666666,42.56
03/07/2013,-7.499775346247969e-05,0.0,0.0,41.26984924623111,41.19778195488721,41.27
03/08/2013,9.16517089145377e-06,1.1962659934969193e-05,0.0,41.16168341708541,41.136388888888874,41.13
03/11/2013,3.2183220797156776e-05,1.6829777358907284e-05,0.0,41.454194373401464,41.44156976744187,41.44
03/12/2013,9.43236776218061e-05,9.928724562317616e-05,0.0,42.81322580645155,42.82670454545455,42.79
03/13/2013,1.2117102160630977e-05,1.538889458571613e-17,0.0,43.798847117794416,43.79513513513513,43.89
03/14/2013,-1.0512461613531462e-05,-6.016413193341794e-06,0.0,43.82185750636132,43.84012820512821,43.8
03/15/2013,-3.8292971235415143e-05,-2.6316753375589394e-05,0.0,43.56657831325302,43.514250000000004,43.56
03/18/2013,-4.049730411446179e-06,5.6193288355209104e-05,0.0,43.2428855721393,43.16471153846153,43.26
03/19/2013,8.06453750603477e-05,-8.975360168139002e-05,0.0,42.542663316582846,42.44414285714286,42.445
03/20/2013,-3.2655389198828735e-05,5.5597253748233315e-06,0.0,42.811024999999965,42.796458333333334,42.82
03/21/2013,-3.6453566454797664e-05,6.27238460213483e-06,0.0,41.86927318295746,41.87869918699188,41.87
03/22/2013,-1.3408328934063263e-05,-4.357538047981226e-18,0.0,41.452411167512615,41.45949999999999,41.45
03/25/2013,-1.0995311385408107e-05,9.547899342796293e-06,0.0,41.12491183879096,41.131874999999994,41.11
03/26/2013,5.3967623435207694e-05,-2.8990214345977164e-05,0.0,42.77511056511064,42.74489583333333,42.75
03/27/2013,7.359437431004825e-05,2.8404161822177167e-05,0.0,43.35927680798001,43.391695906432744,43.39
03/28/2013,1.2017878242084893e-05,1.106492425453697e-05,0.0,43.491421446384045,43.54454545454546,43.49
04/01/2013,-6.9107747270622504e-06,-7.4998720652992175e-06,0.0,44.08686868686872,44.096388888888896,44.08
04/02/2013,-1.6206666206610315e-05,8.812358490035932e-06,0.0,43.56546835443038,43.659405660377374,43.65
04/03/2013,3.823905894332075e-05,8.504365902380845e-06,0.0,44.324850746268645,44.49291005291006,44.2
04/04/2013,-5.067912532986213e-05,7.197728455343053e-05,0.0,43.998972431077725,43.914571428571435,43.96
04/05/2013,-8.72683459896307e-06,-6.17971861025576e-05,0.0,43.28994962216625,43.29727272727273,43.31
04/08/2013,2.5186147559151342e-05,5.1293415573374566e-05,0.0,43.638137755102015,43.61547511312217,43.61
04/09/2013,6.102020276538426e-05,5.802716491635525e-05,0.0,44.68386363636365,44.40125,44.715
04/10/2013,4.9350758616736826e-05,6.0520319564512896e-05,0.0,46.375377128953765,46.566800000000015,46.52
04/11/2013,-1.8551658821793916e-05,1.1720225484568302e-17,0.0,45.39943902439022,45.36451406649616,45.38
