day,log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median
02/26/2001,0.0015940661001188168,0.002154608934701907,0.0005554012916998831,88.63966666666668,89.05,89.05
02/27/2001,0.00010435436296477382,-0.00027900233676403597,-0.00022331398038315668,89.7821875,89.97833333333332,89.89500000000001
03/01/2001,-0.00032291359141746955,-5.6637970337446014e-05,0.0,88.32468750000001,88.28999999999999,88.35
03/05/2001,0.0005821768298163199,0.0,0.0,92.93028571428573,93.05,93.0
03/06/2001,0.0009243266045419243,-5.3047583732360824e-05,0.0,93.91319999999997,94.185,94.25
03/07/2001,0.00022047049504241825,6.177288366925828e-05,0.0,96.23193877551022,96.16,96.215
03/08/2001,-2.8363813420043798e-05,-0.00041258963896259387,0.0,97.17931372549022,97.28075,97.235
03/09/2001,-0.0006341388077023002,-0.00031190071600619,-5.1007396116681436e-05,96.91222222222221,96.8875,96.58
03/12/2001,-0.00040808859758716343,-5.9631119486702744e-18,-0.00031617221109678164,94.506,94.62,94.64
03/13/2001,-0.0002942470183711579,-0.0002756339860250166,0.0,90.87377358490569,90.85,90.75
03/14/2001,-0.00011162613169490827,0.0003912045132116967,0.00011286044817574028,89.65999999999998,89.09571428571428,88.965
03/15/2001,-0.0009276242056750412,-0.0009820436472839562,-0.0008133388004282849,87.49142857142857,87.4725,87.55
03/16/2001,-0.00034356559123262557,1.0950441942103595e-17,0.0,85.9981818181818,85.74000000000001,85.68
03/19/2001,0.0003997084889578729,0.0,0.0001704067176318789,87.4877966101695,87.76166666666667,87.8
03/20/2001,-0.00011000630783925005,0.0001660118437032275,0.0,89.73318181818183,89.855,89.615
03/22/2001,-2.6128314281632614e-05,0.00024912382111655774,-0.00018029929878640017,82.83333333333334,82.7175,82.65
03/23/2001,0.0008137901841680527,0.00028702653254379065,0.0,85.735,86.015,85.975
03/26/2001,-0.00027714077686440385,-0.00042731016684769037,0.0,87.6222857142857,87.7,87.7
03/27/2001,-0.00038491574749241773,-0.0005499900967268657,-0.0002871088221294982,85.92064516129031,85.7875,85.8
03/28/2001,-0.0008041352859296131,-0.0009783550509033785,-0.0008832364070265521,83.92407407407407,84.1075,83.92
03/29/2001,-0.00021293181569182647,-0.0001557147759210691,0.0,79.7575925925926,80.16875,79.725
03/30/2001,-0.0001577965859153562,0.0,0.0,81.12966666666668,81.18,81.19
