day,log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median
09/28/2009,4.921793239592715e-05,4.0179740811771474e-05,0.0,41.930445103857565,41.97708333333333,41.98
09/29/2009,-4.1021608942180425e-06,1.3408870368214476e-17,0.0,42.10492836676216,42.13043650793651,42.11
09/30/2009,-1.6796172720338682e-05,-6.334285618177449e-06,0.0,41.765596330275244,41.76116666666667,41.72
10/01/2009,-8.864512213636782e-05,-6.475108302876625e-05,0.0,41.07115044247791,41.0200725952813,41.03
10/02/2009,3.039946660190931e-05,3.9589135684824274e-05,0.0,40.46719546742207,40.479929078014194,40.48
10/05/2009,4.36771729468944e-05,4.281997799081011e-05,0.0,40.97627831715207,40.992000000000004,40.97
10/06/2009,1.8740330510136336e-05,-1.088080087892029e-05,0.0,41.72711974110027,41.72302083333334,41.73
10/07/2009,1.7751528526905916e-05,2.598331464962142e-05,0.0,41.6878527607362,41.68041472506991,41.68
10/08/2009,-2.536205496022524e-06,-2.690886001118171e-05,0.0,42.16985815602839,42.16305555555556,42.16
10/09/2009,1.530876689183862e-05,1.1750232305126859e-05,0.0,42.168474576271215,42.17937500000001,42.17
10/12/2009,-2.0158450607091373e-05,4.114165810330688e-05,0.0,42.54211111111112,42.544444444444444,42.55
10/13/2009,-3.351438266227699e-05,5.4661859529477505e-18,0.0,42.33872852233678,42.36749999999999,42.36
10/14/2009,2.2067833684273726e-05,1.0655298017371429e-17,0.0,43.015804597701106,43.01026315789473,43.0
10/15/2009,1.2160353456098734e-05,2.2107307727349235e-05,0.0,43.03515337423318,43.028258865248205,43.02
10/16/2009,-2.2765595744617774e-06,-4.1561083278611005e-19,0.0,42.77190938511332,42.795,42.77
10/19/2009,2.366108146600779e-05,1.2208670816838225e-05,0.0,43.11851351351345,43.18975,43.17
10/20/2009,-2.1072961765866123e-05,-2.807332063103716e-05,0.0,42.895903614457886,42.851590909090916,42.86
10/21/2009,-3.0026480271033606e-05,-3.1749053617617186e-17,0.0,42.960857988165664,42.99840714285713,42.98
10/22/2009,3.376726643922111e-05,5.337250846002792e-05,0.0,42.47614035087714,42.41990196078434,42.41
10/23/2009,-4.569375712800708e-05,-5.185531482178019e-05,0.0,42.337635327635354,42.319,42.32
10/26/2009,-4.638510644998982e-05,-7.291393380140311e-06,0.0,41.8630498533724,41.665000000000006,41.67
10/27/2009,-1.744855389392618e-05,-5.440625767785878e-05,0.0,41.45489489489493,41.40765957446809,41.46
10/28/2009,-4.660645577173198e-05,-3.902963946646412e-05,0.0,40.85857541899439,40.886250000000004,40.86
10/29/2009,6.995231487128738e-05,4.2202421419202886e-05,0.0,41.232707692307706,41.30526442307693,41.29
10/30/2009,-7.749940405720006e-05,-6.509444287830735e-05,0.0,40.70522099447516,40.43121212121211,40.565
11/02/2009,4.779884167387263e-06,8.138573710122186e-05,0.0,40.45035812672174,40.50760869565217,40.42
11/03/2009,2.0471293360223728e-05,2.7492623421199904e-05,0.0,40.497648725212535,40.505811403508766,40.51
11/04/2009,-4.21206600193677e-05,-3.9714659382180225e-05,0.0,41.044810126582306,41.02482142857143,41.04
11/05/2009,2.202998333979326e-05,3.073599174912717e-05,0.0,41.170450160771765,41.14482142857143,41.2
11/06/2009,5.461328279784265e-05,-3.198396408832238e-18,0.0,41.42821428571427,41.459874686716795,41.46
11/09/2009,7.756407653009246e-05,4.574988108626177e-05,0.0,42.283559322033945,42.30375,42.31
11/10/2009,1.0192489026591814e-05,4.5174898386462375e-05,0.0,42.52807308970099,42.56530303030304,42.53
11/11/2009,8.90700563144449e-06,-1.1671335412725232e-05,0.0,42.82832278481012,42.81733082706768,42.81
11/12/2009,-2.6249425984609246e-05,-6.551818266057652e-05,0.0,42.627650602409645,42.61223684210526,42.61
11/13/2009,8.655291893086358e-06,3.772196084425378e-05,0.0,42.560933333333274,42.53172619047619,42.57
11/16/2009,2.7213181916597842e-05,3.744694616684269e-05,0.0,43.22496666666669,43.26319923371646,43.24
11/17/2009,1.5358356984036655e-05,-2.901915277116645e-06,0.0,43.06357638888891,43.079499999999996,43.08
11/18/2009,8.506414225761408e-06,3.61983214123693e-05,0.0,43.162271062271046,43.172859477124184,43.17
11/19/2009,-1.809928955479238e-05,-2.6561824588051193e-05,0.0,42.606877192982544,42.611785714285716,42.6
11/20/2009,1.540316217703063e-05,1.3032032975508271e-05,0.0,42.54350515463913,42.491363636363644,42.55
11/23/2009,5.99978618742052e-06,9.02806809011968e-19,0.0,43.19607449856732,43.159666666666666,43.17
11/24/2009,-1.911575686949499e-06,-5.488450818989865e-18,0.0,43.05884931506848,43.07126315789474,43.07
11/25/2009,3.45255012704489e-06,1.9707551206531197e-05,0.0,43.24695167286247,43.245263736263745,43.25
11/27/2009,6.95979834670986e-05,1.9522861359818504e-05,0.0,42.62134502923977,42.643125,42.67
11/30/2009,2.5141663636119987e-05,9.926096764557394e-18,0.0,42.57048275862075,42.55714285714286,42.54
12/01/2009,-4.7114500266450015e-06,1.3653186403922662e-06,0.0,43.251416184971106,43.244891774891784,43.25
12/02/2009,2.7437441163806304e-06,1.877925747387906e-05,0.0,43.34446745562126,43.32147727272728,43.32
12/03/2009,-3.4304712743840146e-05,-6.002049985760759e-05,0.0,43.265273972602806,43.27786956521739,43.28
12/04/2009,-2.7019934765661384e-05,-8.643629130975866e-05,0.0,43.33104790419165,43.26796517671515,43.27
12/07/2009,-1.4570781471499636e-06,-3.001645344692691e-05,0.0,43.447389937106905,43.44375,43.47
