Date,Open,High,Low,Close,Adj Close,Volume
1998-10-12,14.218750,17.250000,14.218750,16.000000,16.000000,27652000
1998-10-19,16.250000,18.125000,16.093750,17.406250,17.406250,36368200
1998-10-26,17.500000,20.062500,16.375000,19.000000,19.000000,55714400
1998-11-02,19.500000,22.187500,19.031250,21.500000,21.500000,63190400
1998-11-09,21.593750,24.000000,21.375000,22.250000,22.250000,57853200
1998-11-16,22.500000,22.593750,20.781250,21.500000,21.500000,45890800
1998-11-23,22.187500,23.750000,21.750000,22.156250,22.156250,23370200
1998-11-30,22.000000,25.187500,20.625000,25.062500,25.062500,68732600
1998-12-07,25.062500,27.687500,23.250000,24.000000,24.000000,54110600
1998-12-14,23.625000,27.343750,22.968750,26.437500,26.437500,46809800
1998-12-21,27.125000,27.812500,25.781250,26.125000,26.125000,28682200
1998-12-28,26.187500,26.562500,25.093750,25.281250,25.281250,18630600
1999-01-04,24.812500,33.781250,24.593750,31.812500,31.812500,67881600
1999-01-11,32.500000,36.156250,31.750000,35.656250,35.656250,60396400
1999-01-18,36.625000,39.125000,33.625000,35.250000,35.250000,33853400
1999-01-25,35.625000,39.437500,33.437500,39.000000,39.000000,48692800
1999-02-01,38.687500,40.281250,33.812500,35.125000,35.125000,53500600
1999-02-08,36.250000,36.500000,32.062500,32.250000,32.250000,59131800
1999-02-15,32.937500,34.000000,29.000000,32.062500,32.062500,36238400
1999-02-22,31.968750,37.718750,27.375000,28.812500,28.812500,78498200
1999-03-01,28.812500,30.125000,25.968750,29.968750,29.968750,67324200
1999-03-08,30.500000,31.406250,24.937500,25.187500,25.187500,65231000
1999-03-15,25.750000,27.312500,24.000000,25.250000,25.250000,56227600
1999-03-22,25.375000,27.312500,23.281250,23.562500,23.562500,74009400
1999-03-29,24.250000,24.812500,22.625000,24.656250,24.656250,33179000
1999-04-05,25.375000,27.312500,23.250000,23.937500,23.937500,41495200
1999-04-12,22.500000,23.437500,21.187500,22.687500,22.687500,40725400
1999-04-19,22.875000,23.000000,18.218750,18.937500,18.937500,74056200
1999-04-26,19.187500,19.343750,17.625000,18.625000,18.625000,52285800
1999-05-03,18.750000,20.750000,18.406250,19.531250,19.531250,30956200
1999-05-10,19.562500,20.593750,18.312500,18.468750,18.468750,33841200
1999-05-17,18.468750,19.625000,18.218750,18.656250,18.656250,25241600
1999-05-24,18.750000,19.718750,17.125000,18.937500,18.937500,34568600
1999-05-31,18.656250,19.687500,18.000000,19.031250,19.031250,16545800
1999-06-07,19.375000,23.000000,19.093750,21.750000,21.750000,57247400
1999-06-14,21.750000,23.468750,21.125000,22.500000,22.500000,38424200
1999-06-21,22.375000,23.937500,19.187500,19.656250,19.656250,50173400
1999-06-28,19.750000,21.656250,18.687500,21.156250,21.156250,31781000
1999-07-05,21.156250,25.500000,21.156250,25.312500,25.312500,47909600
1999-07-12,25.312500,29.656250,24.687500,26.312500,26.312500,72370200
1999-07-19,26.468750,26.656250,24.125000,25.562500,25.562500,37517600
1999-07-26,25.375000,31.937500,25.187500,30.812500,30.812500,72573000
1999-08-02,31.187500,33.375000,29.468750,32.937500,32.937500,47683000
1999-08-09,33.500000,34.656250,30.937500,32.031250,32.031250,52003800
1999-08-16,32.000000,32.875000,27.531250,32.531250,32.531250,62267800
1999-08-23,32.750000,35.937500,31.812500,34.437500,34.437500,58724800
1999-08-30,35.312500,40.125000,34.031250,40.062500,40.062500,57125200
1999-09-06,40.437500,41.250000,36.250000,37.312500,37.312500,58016400
1999-09-13,37.375000,41.937500,36.593750,37.812500,37.812500,84272400
1999-09-20,37.906250,42.500000,36.250000,40.125000,40.125000,91956000
1999-09-27,40.375000,41.750000,33.250000,35.750000,35.750000,82765800
1999-10-04,35.656250,39.937500,32.500000,34.531250,34.531250,100963800
1999-10-11,35.125000,36.187500,32.531250,35.500000,35.500000,77497800
1999-10-18,35.187500,35.781250,30.031250,31.812500,31.812500,76714000
1999-10-25,32.375000,36.187500,30.093750,35.656250,35.656250,63221200
1999-11-01,36.125000,39.812500,35.875000,38.437500,38.437500,52321800
