Date,AAPL.csvlog_returns,AMZN.csvlog_returns,MU.csvlog_returns,SPY.csvlog_returns,^DJI.csvlog_returns,g_median,mean
1998-10-19,-0.08017373511199657,0.08357378814210417,0.13353139262452257,0.06599828901756825,0.054768650900102786,0.05500588648345628,0.051539677114460246
1998-10-26,-0.017182995104639893,0.18505347826160137,0.07410797215372183,0.01903654503617038,0.003969273628046884,0.025622842528350464,0.05299685479498012
1998-11-02,0.03908793479704537,0.0728329902769684,0.10821358464023279,0.028316412139457008,0.017219904530654993,0.0338601553910032,0.05313416527687172
1998-11-09,0.004987222041736221,-0.050010389355148656,0.10198945539824229,0.027810468604455206,0.04284314158466254,0.02999710446464778,0.02552397965478952
1998-11-16,-0.047547161098196664,0.052932943888858094,0.04111138824243105,0.0024649529232749112,-0.005681540828611913,0.0012957743713940138,0.008656116625551097
1998-11-23,-0.01048972032275409,0.3956898903319272,-0.01398624197473984,0.02805688421836738,0.026373327892884484,0.045698353397776593,0.08512882802913703
1998-11-30,-0.028522207647907596,0.1403028193941898,-0.008486613877318694,0.013082704180637054,0.01876805708647113,0.01816567647668632,0.027028951827214338
1998-12-07,-0.034962402262543255,-0.1292313525773244,0.13033025170847207,-0.008040448499432874,-0.03443455767191936,-0.017779733721832513,-0.015267701860549562
1998-12-14,-0.015094508195092978,0.13603795830291884,-0.059067231686981476,-0.016278334046254683,-0.022025842763170374,-0.010614728570370567,0.004714408322283868
1998-12-21,0.07329310021268272,0.31665339548182847,0.13815033848081718,0.02628631855297696,0.00928021206739485,0.05147246015440266,0.11273267295914002
1998-12-28,0.09755607452793837,0.0867368154058378,-0.03517361417826715,0.03299268315434881,0.035051993457994965,0.03857657094444142,0.04343279047357056
1999-01-04,0.07707965519598996,-0.010058013626999639,-0.0539346392349473,0.001013684830846201,-0.00397298878152188,0.002009055450393928,0.002025539676673469
1999-01-11,0.08255085525504946,0.521487660357848,0.2698925308882826,0.034357374824195236,0.048801577181183144,0.09018177709037216,0.19141799970131168
1999-01-18,-0.08701154390465222,-0.20097267342005518,0.11949097800153957,-0.018900557690089317,-0.03162522403767965,-0.03209539449629976,-0.043803804210187355
1999-01-25,-0.06622886206187308,-0.21404882140832732,-0.02768342874841674,-0.016217414318875956,-0.024096998343126085,-0.03686619679704897,-0.06965510497612383
1999-02-01,0.06024948372172333,-0.031350529884076044,0.0824689118560003,0.04291908421913276,0.025859255010204547,0.03680777063320788,0.036029240984596984
1999-02-08,-0.12776492515450605,-0.029081209300841737,-0.06507716914413113,-0.02832395227748928,-0.006217176241806803,-0.032717309585404905,-0.051292886423755
1999-02-15,0.057915266776013455,-0.06782259633876106,-0.09582755499910271,-0.0027512978788908344,-0.0026137487783189665,-0.007525876224216782,-0.022219986243812023
1999-02-22,-0.03934976275271892,-0.04914110293421988,-0.02985296314968116,-0.0025081528072130235,0.006729332047238548,-0.007742360665532831,-0.022824529919318885
1999-03-01,-0.07102484824935092,0.221668262135887,-0.10394954239503268,-0.006298471846340197,-0.003492249335934844,-0.00234090945142641,0.007380630061845669
1999-03-08,-0.04592209528935062,-0.04478735932093246,0.056917362856498725,0.03671965052157399,0.04514394871442055,0.02788689969350086,0.009614301496442035
1999-03-15,0.001877814749146076,0.09094940108409481,-0.16929205650362072,0.012828805118582734,0.014163060629613693,0.005857598560934761,-0.009894594984436681
1999-03-22,0.02042817805924213,0.0014087816370820495,-0.014670189747793742,0.0009615385356215924,0.00264938143106364,0.0022472090275980888,0.0021555379830431338
1999-03-29,-0.014814962870339407,0.11887738423741986,-0.045347819978459145,-0.0069925485996654105,-0.008179965337224619,-0.002185156221201868,0.008708417490346256
1999-04-05,0.07197291919395118,0.14048631763320046,0.045347819978459256,0.013697554562269062,0.0014762403684352209,0.025475438806274092,0.05459617034726304
1999-04-12,-0.02817065474444947,0.020072358489388046,-0.12024912815157693,0.019146913275258727,0.03378495655735461,0.010670843345167257,-0.015083110914805003
1999-04-19,0.019452762178948098,0.070553044840798,0.016529301951210506,-0.005870283928240851,0.030946856672810528,0.01419686330886272,0.026322336343105258
1999-04-26,0.10149964570704843,0.10058723690516862,-0.17578558581416903,0.02832787516153949,0.018484697805806832,0.02359422205148528,0.014622773953078868
1999-05-03,0.15369852689706107,-0.22508922281029697,-0.023065272930996104,-0.022691411202070765,0.00925296036518443,-0.010555631292332114,-0.02157888393622367
1999-05-10,0.014815345023718474,-0.20000508265781136,0.042420715883952055,0.01048315615922626,0.02201002147827575,0.0025651635327898366,-0.022055168822527765
1999-05-17,-0.06632272849256617,-0.049705496041120255,-0.05753435369400033,-0.009078990236960741,-0.010808756321030007,-0.020451163208547864,-0.0386900649571355
1999-05-24,-0.0028610488999602094,-0.010633256301368703,0.015113637810048106,0.0016353617860427481,-0.007424004763332058,-0.0015114408946315789,-0.0008338620737140234
1999-05-31,0.03103201475554147,-0.14287660325404028,-0.005012541823544286,-0.02817720419611899,-0.025139172563916616,-0.028079583569089954,-0.03403470141641574
1999-06-07,0.06713921394874368,-0.0266985468988498,0.03780236464653507,0.025137676487810772,0.022303179882425656,0.02537675291401732,0.025136777613333078
1999-06-14,-0.034349652057663195,-0.04353628704817724,0.1156301822952824,-0.0208242262340914,-0.028970525681898736,-0.017371343793542084,-0.0024101017453096356
1999-06-21,0.010695205840591955,0.08856358920324345,0.02833050662622599,0.02852251076304606,0.034101222516212164,0.03260912850226323,0.03804260698986393
1999-06-28,-0.10211494107196208,-0.02282314484405584,-0.12479077281378824,-0.013334748488423658,-0.027919732653496895,-0.0334176083742113,-0.05819666797434534
