Year,g_median,mean,median
1998,0.02147958915422961,0.02290074153748183,0.023122394563711027
1999,0.04401547789706686,0.0016089885242387477,-0.007135179357268215
2000,-0.003004745287503824,-0.006170624949220362,-0.00949417468393617
2001,-0.06583739503317723,-0.001669998030445684,-0.005836611131984902
2002,0.027618993389875803,0.002195525055608127,0.0029649729438238747
2003,-0.03711900536253136,0.004005471611647595,0.003694539992300937
2004,0.05282139864661245,-0.0006243756780629618,0.00035133225286465385
2005,0.01970862612268287,0.00022227339293923022,0.0011690642647463056
2006,0.03983513077946947,-0.0006979353618230163,-0.0003575898610458273
2007,0.044162070487951,0.003390012285330447,0.0025188425781232644
2008,-0.04991455295226836,-0.002429078439645857,-0.005094374513898087
2009,-0.004137858220521061,0.003944138974929072,0.0024861672335111536
2010,0.04289932409823906,0.0011236083567535671,0.0013040890053936998
2011,-0.031491529623440234,-0.00019212919910853102,0.0015232455856819646
2012,-0.013755369281424103,0.001363090987526037,-0.0006405803035559631
2013,-0.03150302442118484,0.0019114236715969911,0.0015062700477565102
2014,-0.05307271097795646,-0.0009375479152669057,0.0011286652837405233
2015,0.06258359705475,0.003132676441696988,0.00035145342984445175
2016,-0.004960743537758976,0.00043968752772261904,0.00037918283490698663
2017,-0.02141681132129144,0.0017269470970527135,0.002087547953526179
2018,0.02286124364845532,0.0021450368627525837,0.0025981960751436063
