Date,AAPL.csvlog_returns,AMZN.csvlog_returns,MU.csvlog_returns,SPY.csvlog_returns,^DJI.csvlog_returns,mean,subgradient_median
12/1/1998,-0.1586053685099569,0.3700485418109873,0.05760347148225863,0.04682761329957599,0.05882932074983146,0.07494071576653928,0.05593097801469146
1/1/1999,0.27490542096180975,0.5690055254351002,0.18332962139544942,0.060561300619642974,0.007372481294352885,0.21903486994127105,0.0922493645423022
2/1/1999,-0.01044006698975242,0.0751156356453895,0.44416899199740567,0.042158487034362487,0.018938609810582107,0.11398833149959749,0.05295540050235451
3/1/1999,-0.18022426938056238,0.07562335356206412,-0.29470722968794755,-0.03988187480993335,-0.00559384230882194,-0.08895677252504021,-0.04409389594670982
4/1/1999,0.03527634912141646,0.34529150005529424,-0.16981869937820224,0.0476226004469425,0.05018912753590891,0.06171217555627199,0.05360479370477093
5/1/1999,0.24474578475984085,-0.07223355735937156,-0.2597968689622453,0.02850549299792626,0.09753300976424284,0.007750772240078618,0.04625211403868564
6/1/1999,-0.023336417613266373,-0.40322043825434056,-0.005012541823544286,-0.025137676487810696,-0.021361911883937827,-0.09561379721257994,-0.04426224450159428
7/1/1999,0.028749410766867704,0.11628714906480075,0.09119023806459668,0.051485398892991925,0.037635223327253164,0.06506948402330205,0.05094767392506533
8/1/1999,0.18322067915021692,-0.2415250332274069,0.42264592485426533,-0.031513265706076744,-0.028790801212049025,0.06080750077178991,-0.0049827600981425845
9/1/1999,0.18605989111318233,0.255400379721024,0.1959226953079796,0.0014114328384078085,0.016162728045530338,0.13099142540522482,0.04327304526717608
10/1/1999,-0.07554407527267887,0.19276551595503794,-0.10774299639625422,-0.03833722953894771,-0.04657305009261228,-0.015086367069091028,-0.034001322523318424
11/1/1999,0.2528782002570877,-0.12337902116050466,0.05878807400913334,0.0647827512035061,0.03751327661105287,0.05811665618405506,0.057261642221101215
12/1/1999,0.2330938717713387,0.2483511603893573,-0.07543970760157548,0.020394996521073124,0.013485442884468105,0.08797715279293236,0.040615935334514026
1/1/2000,0.03764868462343544,-0.0681745408357195,0.1439711116137942,0.062180426731747285,0.05590614265936915,0.04630636495852532,0.055101534659360116
2/1/2000,-0.00837826500420794,-0.1884754223683329,-0.2195152465879674,-0.059044925842626286,-0.05028864276046691,-0.10514050051272028,-0.06814249541374227
3/1/2000,0.13104927163078633,0.0018501392881613734,0.49582432886747835,-0.015322516992364551,-0.07690445444865514,0.10729935366908128,0.000583583502585127
4/1/2000,0.13353145166511146,-0.03288224853588994,0.20932299569557755,0.08693568535730359,0.07007355866265515,0.09339628856895156,0.08374622436549403
5/1/2000,-0.08165855848772749,-0.15574379789560636,0.11091167979395192,-0.024016321759549066,-0.010536527354748634,-0.03220870514073593,-0.024024084046910858
6/1/2000,-0.4236472821655915,-0.13608567242961944,0.024605810802200194,-0.01981115611719822,-0.020407959350317074,-0.11506925185210522,-0.05178577782998749
7/1/2000,0.24312592523327356,-0.28682992071721464,0.2341933875007947,0.012105638539110166,-0.0078073717673039535,0.038957531757731964,0.015234675976520418
